latitude,longitude,pass_type,brightness_temp_37v
35.25,-13.0,descending,211.63
35.25,-12.75,descending,211.61
35.25,-12.5,descending,211.59833
35.25,-12.25,descending,211.68001
35.25,-12.0,descending,211.74857
35.25,-11.75,descending,211.735
35.25,-11.5,descending,211.76999
35.25,-4.75,descending,243.53833
35.25,-4.5,descending,240.92334
35.25,-4.25,descending,240.10333
35.25,-4.0,descending,239.728
35.25,-3.75,descending,243.76999
35.25,-3.5,descending,243.95
35.25,-3.25,descending,244.58499
35.25,-3.0,descending,244.14499
35.25,-2.75,descending,239.70332
35.25,-2.5,descending,234.29
35.25,-2.25,descending,232.45
35.25,-2.0,descending,233.35333
35.25,-1.75,descending,237.43999
35.25,-1.5,descending,248.98749
35.25,-1.25,descending,265.50668
35.25,-1.0,descending,270.85666
35.25,-0.75,descending,273.05
35.25,-0.5,descending,274.01
35.25,-0.25,descending,274.84
35.25,0.0,descending,275.30002
35.25,0.25,descending,275.3867
35.25,0.5,descending,275.03
35.25,0.75,descending,274.54498
35.25,1.0,descending,273.79333
35.25,1.25,descending,272.325
35.25,1.5,descending,271.28665
35.25,1.75,descending,270.84332
35.25,2.0,descending,271.04498
35.25,2.25,descending,271.60498
35.25,2.5,descending,272.7
35.25,2.75,descending,272.97
35.25,3.0,descending,273.28998
35.25,3.25,descending,273.26
35.25,3.5,descending,272.02
35.25,3.75,descending,271.33997
35.25,4.0,descending,271.91498
35.25,4.25,descending,272.24332
35.25,4.5,descending,272.37
35.25,4.75,descending,271.95667
35.25,5.0,descending,272.925
35.25,5.25,descending,273.52
35.25,5.5,descending,272.41998
35.25,5.75,descending,271.5
35.25,6.0,descending,271.375
35.25,6.25,descending,271.20334
35.25,6.5,descending,271.06332
35.25,6.75,descending,270.02
35.25,7.0,descending,267.97333
35.25,7.25,descending,267.78333
35.25,7.5,descending,268.11
35.25,7.75,descending,267.6
35.25,8.0,descending,267.08667
35.25,8.25,descending,267.09998
35.25,8.5,descending,267.35
35.25,8.75,descending,267.71497
35.25,9.0,descending,269.31332
35.25,9.25,descending,270.95502
35.25,9.5,descending,271.12997
35.25,9.75,descending,271.25333
35.25,10.0,descending,271.33334
35.25,10.25,descending,269.16998
35.25,10.5,descending,264.92334
35.25,10.75,descending,252.86499
35.25,11.0,descending,229.1225
35.25,11.25,descending,213.94499
35.25,11.5,descending,210.4925
35.25,11.75,descending,209.95248
35.25,12.0,descending,209.668
35.25,12.25,descending,209.51749
35.25,12.5,descending,209.592
35.25,12.75,descending,209.53667
35.25,13.0,descending,209.352
35.25,33.75,descending,240.23999
35.25,34.0,descending,237.65
35.25,34.25,descending,230.01
35.25,34.5,descending,219.17332
35.25,34.75,descending,213.915
35.25,35.0,descending,212.96333
35.25,35.25,descending,214.03201
35.25,35.5,descending,218.00249
35.25,35.75,descending,226.59666
35.25,36.0,descending,242.87999
35.25,36.25,descending,258.38333
35.25,36.5,descending,268.40665
35.25,36.75,descending,271.86
35.25,37.0,descending,271.8
35.25,37.25,descending,271.12
35.25,37.5,descending,270.09
35.25,37.75,descending,268.61
35.25,38.0,descending,267.925
35.5,-13.0,descending,211.39
35.5,-12.75,descending,211.30846
35.5,-12.5,descending,211.29938
35.5,-12.25,descending,211.40125
35.5,-12.0,descending,211.4762
35.5,-11.75,descending,211.4332
35.5,-11.5,descending,211.31454
35.5,-4.75,descending,229.79922
35.5,-4.5,descending,227.48277
35.5,-4.25,descending,224.49312
35.5,-4.0,descending,223.03072
35.5,-3.75,descending,225.21153
35.5,-3.5,descending,225.85999
35.5,-3.25,descending,226.76727
35.5,-3.0,descending,228.10272
35.5,-2.75,descending,227.028
35.5,-2.5,descending,222.84299
35.5,-2.25,descending,220.75
35.5,-2.0,descending,219.397
35.5,-1.75,descending,221.93
35.5,-1.5,descending,229.43666
35.5,-1.25,descending,248.04666
35.5,-1.0,descending,261.565
35.5,-0.75,descending,267.655
35.5,-0.5,descending,271.4375
35.5,-0.25,descending,273.775
35.5,0.0,descending,274.99875
35.5,0.25,descending,275.3975
35.5,0.5,descending,275.44125
35.5,0.75,descending,275.1111
35.5,1.0,descending,274.43665
35.5,1.25,descending,273.44427
35.5,1.5,descending,272.14124
35.5,1.75,descending,271.20166
