latitude,longitude,pass_type,brightness_temp_37v
35.25,-13.0,ascending,211.07
35.25,-12.75,ascending,210.885
35.25,-12.5,ascending,210.73874
35.25,-12.25,ascending,211.10698
35.25,-5.25,ascending,260.16873
35.25,-5.0,ascending,256.35
35.25,-4.75,ascending,243.564
35.25,-4.5,ascending,236.056
35.25,-4.25,ascending,223.944
35.25,-4.0,ascending,225.20749
35.25,-3.75,ascending,223.7475
35.25,-3.5,ascending,225.2525
35.25,-3.25,ascending,225.92
35.25,-3.0,ascending,224.53667
35.25,-2.75,ascending,221.56665
35.25,-2.5,ascending,217.89667
35.25,-2.25,ascending,214.67332
35.25,-2.0,ascending,215.71
35.25,-1.75,ascending,219.31
35.25,-1.5,ascending,226.76332
35.25,-1.25,ascending,236.18333
35.25,-1.0,ascending,246.79668
35.25,-0.75,ascending,251.84
35.25,-0.5,ascending,256.43332
35.25,-0.25,ascending,260.42667
35.25,0.0,ascending,264.13
35.25,0.25,ascending,264.9833
35.25,0.5,ascending,265.45667
35.25,0.75,ascending,266.54498
35.25,1.0,ascending,265.73334
35.25,1.25,ascending,263.95
35.25,1.5,ascending,263.10666
35.25,1.75,ascending,262.62
35.25,2.0,ascending,263.485
35.25,2.25,ascending,264.53998
35.25,2.5,ascending,266.36
35.25,2.75,ascending,268.09
35.25,3.0,ascending,268.12
35.25,3.25,ascending,267.115
35.25,3.5,ascending,264.55997
35.25,3.75,ascending,264.53
35.25,4.0,ascending,266.53665
35.25,4.25,ascending,266.495
35.25,4.5,ascending,263.4
35.25,4.75,ascending,260.34998
35.25,5.0,ascending,261.45667
35.25,5.25,ascending,264.75
35.25,5.5,ascending,265.20334
35.25,5.75,ascending,263.82333
35.25,6.0,ascending,263.635
35.25,6.25,ascending,263.56665
35.25,6.5,ascending,262.515
35.25,6.75,ascending,260.82
35.25,7.0,ascending,259.19666
35.25,7.25,ascending,258.63
35.25,7.5,ascending,259.36667
35.25,7.75,ascending,260.28665
35.25,8.0,ascending,261.34
35.25,8.25,ascending,262.4
35.25,8.5,ascending,263.49
35.25,8.75,ascending,264.84
35.25,9.0,ascending,266.54666
35.25,9.25,ascending,268.19666
35.25,9.5,ascending,269.08334
35.25,9.75,ascending,269.13
35.25,10.0,ascending,268.25668
35.25,10.25,ascending,265.41498
35.25,10.5,ascending,262.985
35.25,10.75,ascending,258.315
35.25,11.0,ascending,247.965
35.25,11.25,ascending,231.92749
35.25,11.5,ascending,222.446
35.25,11.75,ascending,220.33598
35.25,12.0,ascending,221.075
35.25,12.25,ascending,223.78749
35.25,12.5,ascending,227.20555
35.25,19.25,ascending,214.34
35.25,19.5,ascending,214.205
35.25,19.75,ascending,213.98
35.25,20.0,ascending,213.53198
35.25,20.25,ascending,213.172
35.25,20.5,ascending,212.685
35.25,20.75,ascending,212.48248
35.25,21.0,ascending,212.27332
35.25,21.25,ascending,212.2925
35.25,21.5,ascending,212.27666
35.25,21.75,ascending,212.3225
35.25,22.0,ascending,212.51
35.25,22.25,ascending,212.71667
35.25,22.5,ascending,212.965
35.25,22.75,ascending,213.09666
35.25,23.0,ascending,213.23
35.25,23.25,ascending,214.63998
35.25,23.5,ascending,221.68999
35.25,23.75,ascending,235.605
35.25,24.0,ascending,244.08333
35.25,24.25,ascending,245.015
35.25,24.5,ascending,242.285
35.25,24.75,ascending,240.29333
35.25,25.0,ascending,239.815
35.25,25.25,ascending,236.60999
35.25,25.5,ascending,230.17668
35.25,25.75,ascending,226.18
35.25,26.0,ascending,222.45
35.25,26.25,ascending,217.56
35.25,26.5,ascending,214.87334
35.25,26.75,ascending,214.06
35.25,27.0,ascending,216.27998
35.25,27.25,ascending,218.39499
35.25,27.5,ascending,216.02
35.25,27.75,ascending,213.16
35.25,28.0,ascending,212.59999
35.25,28.25,ascending,211.9
35.25,28.5,ascending,211.65332
35.25,28.75,ascending,211.70499
35.25,29.0,ascending,212.12334
35.25,29.25,ascending,212.575
35.25,29.5,ascending,212.85
35.25,29.75,ascending,213.195
35.25,30.0,ascending,213.61665
35.25,30.25,ascending,213.78
35.25,30.5,ascending,213.73999
35.25,30.75,ascending,213.72499
35.25,31.0,ascending,213.91
35.25,31.25,ascending,214.23999
35.25,31.5,ascending,214.495
35.25,31.75,ascending,214.75667
35.25,32.0,ascending,215.09332
35.25,32.25,ascending,216.635
35.25,32.5,ascending,220.34
35.25,32.75,ascending,224.715
35.25,33.0,ascending,230.48665
35.25,33.25,ascending,234.21
35.25,33.5,ascending,235.61333
35.25,33.75,ascending,238.25
35.25,34.0,ascending,235.83998
35.25,34.25,ascending,225.79
35.25,34.5,ascending,217.92
35.25,34.75,ascending,214.87
35.25,35.0,ascending,214.38666
35.25,35.25,ascending,215.94249
35.25,35.5,ascending,224.95
35.25,35.75,ascending,243.82666
35.25,36.0,ascending,267.142
35.25,36.25,ascending,279.288
35.25,36.5,ascending,282.86798
35.25,36.75,ascending,283.58167
35.25,37.0,ascending,283.6975
35.25,37.25,ascending,283.54623
35.5,-13.0,ascending,210.94714
35.5,-12.75,ascending,210.83943
35.5,-12.5,ascending,210.7655
35.5,-12.25,ascending,210.72577
35.5,-5.5,ascending,256.44333
35.5,-5.25,ascending,252.9338
35.5,-5.0,ascending,243.88588
35.5,-4.75,ascending,229.12643
35.5,-4.5,ascending,219.65714
35.5,-4.25,ascending,213.29584
35.5,-4.0,ascending,213.23833
35.5,-3.75,ascending,213.47545
35.5,-3.5,ascending,214.257
35.5,-3.25,ascending,214.814
35.5,-3.0,ascending,214.20363
35.5,-2.75,ascending,213.16399
35.5,-2.5,ascending,211.58798
35.5,-2.25,ascending,210.73125
