date,a,b,r2,rmse,n_points
20050429,0.3231418,192.78268,1.0,0.0,2
20050430,-0.18402211,331.77948,0.9230361580848694,0.6084718369100063,3
20050503,0.13737947,246.54057,0.08040893077850342,6.040212030794376,3
20050504,0.0012040862,284.1048,1.0,0.0,2
20050506,0.77903396,84.42523,1.0,0.0,2
20050509,-0.16835216,324.09027,0.5117747783660889,1.6306334196248364,4
20050510,-0.35432792,372.93158,0.9985738396644592,0.06610424777344161,3
20050512,-0.39092344,382.4104,0.5910619497299194,1.8215300454262018,4
20050515,-0.24659589,347.41034,1.0,0.0,2
20050516,-0.19704248,332.6568,0.7848639488220215,1.0525305839136208,3
20050518,-0.22660293,340.5354,1.0,0.0,2
20050519,-0.696713,454.91992,1.0,0.0,2
20050520,-0.34942967,374.29974,1.0,3.0517578125e-05,2
20050521,-0.102764554,312.189,0.642541766166687,0.8412445097088027,3
20050522,0.08566337,260.70728,0.2664116621017456,1.439227268921436,3
20050523,-0.09537008,310.08508,1.0,0.0,2
20050525,-0.08071413,305.95605,0.940163254737854,0.31788348102018804,3
20050526,-0.15616773,327.50824,0.9489977359771729,0.3371980990174978,3
20050530,-0.039608907,298.47476,1.0,0.0,2
20050531,0.031008642,278.56683,0.434428870677948,0.3551944470790958,3
20050603,-0.12590058,319.17102,1.0,3.0517578125e-05,2
20050607,-0.11985862,317.01932,1.0,0.0,2
20050610,-0.11528964,312.95612,0.06413966417312622,3.411357025894193,3
20050614,-0.14977595,323.8921,1.0,3.0517578125e-05,2
20050615,3.4813073,-674.1304,1.0,2.1579186437577746e-05,2
20050616,0.15011229,244.64142,0.6753610372543335,0.999426945761161,4
20050618,0.092628784,263.22003,0.09538686275482178,2.935983794102651,4
20050619,-0.4809705,414.03256,1.0,3.0517578125e-05,2
20050621,-0.039062876,297.96945,0.9411299824714661,0.42389766280872376,3
20050622,0.024096275,281.84955,1.0,0.0,2
20050626,0.0006248809,290.16132,7.748603820800781e-06,3.112440122465037,3
20050627,-0.28564727,366.423,0.9975192546844482,0.11388808937013413,3
20050628,0.19609788,236.35867,0.4059746265411377,1.844447634335457,4
20050701,77.66564,-21105.92,0.9999975562095642,0.0013852762053089605,2
20050703,-0.06422333,304.6089,0.11840802431106567,2.240835706095529,3
20050704,-0.1465741,329.33047,0.8057617545127869,0.5647599597371834,4
20050705,-0.0010306161,289.04715,8.553266525268555e-05,0.8341271235848996,3
20050706,-0.29637,366.6196,0.9939857125282288,0.15019472789278587,4
20050707,0.14555055,247.80864,1.0,3.0517578125e-05,2
20050708,-0.29319194,364.81964,1.0,0.0,2
20050709,0.01712541,280.02066,0.16315972805023193,0.31658958492414147,3
20050710,54.086746,-14744.894,0.9999991059303284,0.0006437690157998348,2
20050711,0.155251,244.47519,1.0,0.0,2
20050712,0.20399591,231.22943,0.9996671676635742,0.03817365247432789,3
20050713,-0.14629476,329.12445,0.8808135986328125,0.531686183034114,3
20050715,-0.18710151,340.9135,0.8254817128181458,0.8410675004480354,3
20050716,-0.03812789,301.13235,1.0,3.0517578125e-05,2
20050717,-0.14765203,329.1339,0.9975233674049377,0.0828276642824524,3
20050718,-0.010452999,290.9225,0.0013447999954223633,2.605647365504276,3
20050719,0.010284357,288.04114,0.010345757007598877,1.2115534538696826,3
20050720,-0.13969532,326.3419,1.0,0.0,2
20050721,-0.18362214,336.0699,0.9077372550964355,0.6240740592852568,3
20050724,-0.22785826,348.1368,1.0,3.0517578125e-05,2
20050725,-0.11245229,319.78745,0.20687538385391235,1.6701855546120368,4
20050727,0.15275364,247.08122,0.8329666256904602,0.6103475829948393,3
20050728,0.26930594,215.82816,0.6802133321762085,1.5864003826067796,3
20050729,-0.017599192,297.24292,0.015777885913848877,1.5086053532727564,3
20050730,0.22834234,229.50153,0.9169214367866516,0.4347638845623102,3
20050731,0.019887228,284.30893,1.0,0.0,2
20050806,-0.0523528,300.58347,0.04606008529663086,2.1982875227860696,4
20050808,-0.06636825,303.36728,0.7533549666404724,1.3386617178708307,3
20050809,-0.16391908,331.1418,1.0,0.0,2
20050810,-0.15145051,325.95413,0.11431801319122314,3.192654051741905,3
20050811,-0.47259897,413.39865,1.0,2.1579186437577746e-05,2
20050812,-0.04756623,300.60806,1.0,3.0517578125e-05,2
20050813,-0.060061205,303.3816,1.0,3.0517578125e-05,2
20050815,-0.23819774,351.188,0.6778064966201782,0.8046523892048062,3
20050816,-0.1766049,334.26556,1.0,3.0517578125e-05,2
20050817,-0.1446978,325.67136,1.0,0.0,2
20050820,-0.015625434,293.20483,1.0,0.0,2
20050821,-0.034927256,297.78366,0.5682432055473328,0.3326847265444324,3
20050822,0.0360733,279.3302,1.0,0.0,2
20050823,-4.2634964,1473.502,1.0,7.780486318348365e-05,2
20050824,-10.991531,3096.717,1.0,6.823937919616058e-05,2
20050825,-0.11899166,320.18942,1.0,3.0517578125e-05,2
20050828,-0.30745184,369.44916,0.9927473664283752,0.18341775331351506,3
20050830,3.4418917,-612.57556,1.0,4.825252777356536e-05,2
20050905,-0.18607733,338.0381,1.0,0.0,2
20050907,0.2914999,208.88904,1.0,3.0517578125e-05,2
20050910,0.18214372,240.56998,0.6718360185623169,0.6490751830741178,3
20050913,-0.12933183,322.85477,1.0,3.0517578125e-05,2
20050914,-0.114489175,317.9658,0.871137261390686,0.46588785253676585,3
20050915,-0.057637215,303.85184,0.999993622303009,0.001663884505987371,3
20050916,-2.5997484,1003.1024,1.0,3.0517578125e-05,2
20050920,-0.40505263,388.83487,0.8557273149490356,1.3828226724886254,3
20050923,-0.13264854,320.89062,1.0,0.0,2
20050924,-0.25833043,355.06577,0.44070255756378174,1.1076699707283504,3
20050925,7.9711266,-1888.3523,1.0,9.650505554713072e-05,2
20050928,-0.09226478,311.18277,1.0,0.0,2
20050929,-0.02414841,291.70026,0.0074370503425598145,1.97659567100223,4
20050930,-0.19024391,333.73764,0.7256702780723572,1.2464032879894995,3
20051001,0.10232684,256.17615,1.0,0.0,2
20051003,-0.25864267,352.44492,0.9534485340118408,0.32410094407431683,3
20051004,-0.01898821,289.93204,0.2791711091995239,0.5988645867222879,4
20051007,-0.036782652,294.05908,0.03964650630950928,1.9491124554168453,5
20051009,-0.16956782,329.51254,0.6221134662628174,1.4488293723612435,3
20051010,2.1870024,-308.5174,1.0,2.1579186437577746e-05,2
20051015,-1.1429086,584.2266,1.0,0.0,2
20051017,-0.4854966,411.202,1.0,0.0,2
20051020,2.801642,-477.95877,1.0,0.0,2
20051021,-0.19784471,337.0544,0.8849692344665527,0.6527006577755685,3
20051022,-0.17846264,332.7514,1.0,3.0517578125e-05,2
20051023,-0.14080025,322.7757,1.0,3.0517578125e-05,2
20051024,-0.4193339,393.69742,1.0,0.0,2
20051026,-0.22024466,342.70392,1.0,3.0517578125e-05,2
20051028,7.758614,-1804.3594,1.0,6.823937919616058e-05,2
20051029,-0.5542665,431.3946,0.39350271224975586,2.0717099637545013,3
20051031,0.01271909,278.51062,0.001261889934539795,3.1595126370145428,3
20051101,-0.2562989,349.20007,1.0,0.0,2
20051102,-0.4937883,413.2284,1.0,0.0,2
20051103,-0.2553978,351.89926,1.0,3.0517578125e-05,2
20051105,-0.11852506,315.84952,1.0,0.0,2
20051106,-0.56980425,432.68204,1.0,2.1579186437577746e-05,2
20051108,-0.34079817,371.92148,1.0,3.0517578125e-05,2
20051110,-0.15337151,319.11865,0.5015672445297241,1.8064827844901206,4
20051111,-0.012585497,284.84854,0.006034553050994873,1.7989554261797231,4
20051112,-0.03354565,287.95563,0.9486156105995178,0.26578565956059436,3
20051114,-0.27264026,350.69647,0.45524758100509644,2.444959718649342,5
20051116,0.09918555,257.34268,0.023829281330108643,1.5033033078840061,3
20051119,-0.27734584,349.5195,0.6738521456718445,1.155078294255409,4
20051120,-0.24677049,340.39407,0.5405207872390747,2.1427511529595593,5
20051123,-0.16251917,320.61096,0.3455504775047302,1.7945895712396944,3
20051124,1.3278013,-69.78937,1.0,0.0,2
20051125,0.17253017,238.57324,0.9841909408569336,0.0870317375068434,3
20051126,-0.23416124,336.7269,1.0,0.0,2
20051127,-0.16205727,317.35327,1.0,3.0517578125e-05,2
20051201,-0.27964488,348.81418,1.0,3.0517578125e-05,2
20051202,-1.1775646,574.7355,1.0,6.103515625e-05,2
20051203,-0.65794855,443.5187,1.0,0.0,2
20051205,-0.21670651,333.5164,1.0,3.0517578125e-05,2
20051206,5.4577727,-1146.0315,1.0,4.315837287515549e-05,2
20051207,-0.1352349,310.17786,0.7766279578208923,1.286051197981737,3
20051209,-0.36027062,368.61145,1.0,3.0517578125e-05,2
20051213,-0.112300195,301.33334,1.0,3.0517578125e-05,2
20051216,-0.27055067,347.37274,0.8044349551200867,0.8094279459717222,4
20051218,-26.80816,7242.7705,0.9999998807907104,0.00041899201103961126,2
20051219,-0.14959171,313.86768,0.5681525468826294,1.677900064122743,4
20051220,0.0032219442,273.321,0.0018216967582702637,0.8752006232643872,3
20051221,-0.16977134,319.2345,1.0,3.0517578125e-05,2
20051222,-1.085856,533.8452,1.0,4.825252777356536e-05,2
20051223,-0.044606086,286.46432,0.33493572473526,1.0239562256106742,4
20051224,0.15037672,242.09508,1.0,0.0,2
20051225,0.114036635,246.68379,0.9362258315086365,0.28213532500922506,3
20051226,-0.15290926,313.85742,0.9088533520698547,0.6120983548806451,3
20051227,0.59755737,129.72823,1.0,0.0,2
20051228,7.8633466,-1772.1384,0.9999999403953552,0.0001556097263669673,2
20051229,0.00016433584,273.99814,1.5616416931152344e-05,0.5430131249167587,3
20051230,10.485511,-2448.795,1.0,0.00013126106669681742,2
