latitude,longitude,pass_type,brightness_temp_37v
35.25,-11.5,ascending,238.354
35.25,-11.25,ascending,235.76143
35.25,-11.0,ascending,232.124
35.25,-10.75,ascending,229.21167
35.25,-10.5,ascending,228.2775
35.25,-10.25,ascending,228.316
35.25,-10.0,ascending,228.81999
35.25,-9.75,ascending,228.635
35.25,-9.5,ascending,227.6825
35.25,-9.25,ascending,226.18999
35.25,-9.0,ascending,223.245
35.25,-8.75,ascending,220.92499
35.25,-8.5,ascending,220.38335
35.25,-8.25,ascending,222.19
35.25,-8.0,ascending,224.45332
35.25,-7.75,ascending,227.05998
35.25,-7.5,ascending,231.01
35.25,-7.25,ascending,235.26997
35.25,-7.0,ascending,236.135
35.25,-6.75,ascending,233.70999
35.25,-6.5,ascending,231.55666
35.25,-6.25,ascending,235.87
35.25,-6.0,ascending,247.66667
35.25,-5.75,ascending,259.135
35.25,-5.5,ascending,264.54333
35.25,-5.25,ascending,264.22998
35.25,-5.0,ascending,259.93668
35.25,-4.75,ascending,251.70999
35.25,-4.5,ascending,241.05998
35.25,-4.25,ascending,236.15
35.25,-4.0,ascending,237.47667
35.25,-3.75,ascending,239.59
35.25,-3.5,ascending,236.72333
35.25,-3.25,ascending,234.64499
35.25,-3.0,ascending,236.85999
35.25,-2.75,ascending,234.23999
35.25,-2.5,ascending,231.96999
35.25,-2.25,ascending,229.26999
35.25,-2.0,ascending,228.59334
35.25,-1.75,ascending,230.01
35.25,-1.5,ascending,233.52998
35.25,-1.25,ascending,244.35999
35.25,-1.0,ascending,252.45
35.25,-0.75,ascending,256.40497
35.25,-0.5,ascending,259.99332
35.25,-0.25,ascending,263.555
35.25,0.0,ascending,265.06998
35.25,0.25,ascending,265.56
35.25,0.5,ascending,266.635
35.25,0.75,ascending,266.81332
35.25,1.0,ascending,266.85666
35.25,1.25,ascending,267.15497
35.25,1.5,ascending,267.13
35.25,1.75,ascending,266.78
35.25,2.0,ascending,266.08334
35.25,2.25,ascending,266.19998
35.25,2.5,ascending,267.60666
35.25,2.75,ascending,269.19
35.25,3.0,ascending,269.8933
35.25,3.25,ascending,269.28333
35.25,3.5,ascending,267.9833
35.25,3.75,ascending,268.62332
35.25,4.0,ascending,269.49332
35.25,4.25,ascending,270.10498
35.25,4.5,ascending,268.72498
35.25,4.75,ascending,266.69333
35.25,5.0,ascending,267.7
35.25,5.25,ascending,269.41202
35.25,5.5,ascending,270.06198
35.25,5.75,ascending,270.63
35.25,6.0,ascending,270.985
35.25,6.25,ascending,270.8222
35.25,6.5,ascending,270.625
35.25,13.25,ascending,212.63165
35.25,13.5,ascending,212.62334
35.25,13.75,ascending,212.48164
35.25,14.0,ascending,212.4975
35.25,14.25,ascending,212.38399
35.25,14.5,ascending,212.3875
35.25,14.75,ascending,212.34749
35.25,15.0,ascending,212.31999
35.25,15.25,ascending,212.39
35.25,15.5,ascending,212.43
35.25,15.75,ascending,212.46333
