latitude,longitude,pass_type,brightness_temp_37v
35.25,-12.5,descending,208.9075
35.25,-12.25,descending,208.625
35.25,-12.0,descending,208.226
35.25,-11.75,descending,207.76399
35.25,-11.5,descending,207.3375
35.25,-11.25,descending,207.08
35.25,-11.0,descending,206.88
35.25,-10.75,descending,206.71667
35.25,-10.5,descending,206.57999
35.25,-10.25,descending,206.4325
35.25,-10.0,descending,206.30333
35.25,-9.75,descending,206.245
35.25,-9.5,descending,206.27332
35.25,-9.25,descending,206.39667
35.25,-9.0,descending,206.52998
35.25,-8.75,descending,206.64499
35.25,-8.5,descending,206.70999
35.25,-8.25,descending,206.77998
35.25,-8.0,descending,206.76
35.25,-7.75,descending,206.73
35.25,-7.5,descending,206.75
35.25,-7.25,descending,206.76332
35.25,-7.0,descending,206.93333
35.25,-6.75,descending,207.435
35.25,-6.5,descending,211.11333
35.25,-6.25,descending,225.37
35.25,-6.0,descending,249.84666
35.25,-5.75,descending,264.3
35.25,-5.5,descending,265.38333
35.25,-5.25,descending,259.78
35.25,-5.0,descending,248.88
35.25,-4.75,descending,244.09666
35.25,-4.5,descending,239.56499
35.25,-4.25,descending,238.11
35.25,-4.0,descending,243.06999
35.25,-3.75,descending,240.15332
35.25,-3.5,descending,243.08499
35.25,-3.25,descending,241.595
35.25,-3.0,descending,241.82498
35.25,-2.75,descending,237.31667
35.25,-2.5,descending,229.08499
35.25,-2.25,descending,229.59334
35.25,-2.0,descending,231.56
35.25,-1.75,descending,238.66667
35.25,-1.5,descending,248.03
35.25,-1.25,descending,256.68668
35.25,-1.0,descending,261.51
35.25,-0.75,descending,262.82666
35.25,-0.5,descending,264.44333
35.25,-0.25,descending,265.03497
35.25,0.0,descending,251.54001
35.25,0.25,descending,264.86
35.25,0.5,descending,265.13333
35.25,0.75,descending,265.21
35.25,1.0,descending,265.49332
35.25,1.25,descending,266.31998
35.25,1.5,descending,266.28333
35.25,1.75,descending,265.3933
35.25,2.0,descending,265.35666
35.25,2.25,descending,265.82333
35.25,2.5,descending,265.88498
35.25,2.75,descending,265.91333
35.25,3.0,descending,265.845
35.25,3.25,descending,264.2333
35.25,3.5,descending,262.8025
35.25,3.75,descending,263.6275
35.25,4.0,descending,265.1225
35.25,4.25,descending,265.69
35.25,4.5,descending,263.266
35.25,4.75,descending,261.16
35.25,5.0,descending,261.98285
35.25,5.25,descending,261.65332
35.25,5.5,descending,260.47
35.25,12.25,descending,224.86398
35.25,12.5,descending,223.97166
35.25,12.75,descending,222.08998
35.25,13.0,descending,219.8275
35.25,13.25,descending,217.78598
35.25,13.5,descending,216.53749
35.25,13.75,descending,215.14333
35.25,14.0,descending,214.08
35.25,14.25,descending,213.29999
35.25,14.5,descending,213.12334
35.25,14.75,descending,213.74333
35.25,15.0,descending,214.875
35.25,15.25,descending,215.17
35.25,15.5,descending,214.33667
35.25,15.75,descending,212.78667
35.25,16.0,descending,212.60333
35.25,16.25,descending,213.40999
35.25,16.5,descending,213.99666
35.25,16.75,descending,213.16
35.25,17.0,descending,210.92
35.25,17.25,descending,210.065
35.25,17.5,descending,210.52333
35.25,17.75,descending,211.43666
35.25,18.0,descending,211.89
35.25,18.25,descending,210.81
35.25,18.5,descending,208.87334
35.25,18.75,descending,208.54999
35.25,19.0,descending,208.93
35.25,19.25,descending,210.855
35.25,19.5,descending,213.58
35.25,19.75,descending,214.1
35.25,20.0,descending,213.62
35.25,20.25,descending,216.525
35.25,20.5,descending,220.79
35.25,20.75,descending,226.64
35.25,21.0,descending,230.625
35.25,21.25,descending,229.155
35.25,21.5,descending,222.44
35.25,21.75,descending,213.73
35.25,22.0,descending,211.52998
35.25,22.25,descending,210.625
35.25,22.5,descending,210.38335
35.25,22.75,descending,210.45
35.25,23.0,descending,210.73999
35.25,23.25,descending,212.69499
35.25,23.5,descending,220.67332
35.25,23.75,descending,229.87666
35.25,24.0,descending,229.60999
35.25,24.25,descending,230.13
35.25,24.5,descending,236.06
35.25,24.75,descending,243.495
35.25,25.0,descending,245.64333
35.25,25.25,descending,240.23
35.25,25.5,descending,235.48332
35.25,25.75,descending,228.67499
35.25,26.0,descending,224.11
35.25,26.25,descending,229.269
35.25,26.5,descending,227.28778
35.25,26.75,descending,226.83875
35.25,27.0,descending,226.12999
35.25,27.25,descending,223.09167
35.25,27.5,descending,220.77875
35.25,27.75,descending,220.43001
35.25,28.0,descending,219.47571
35.25,28.25,descending,219.88
35.25,28.5,descending,214.33443
35.25,28.75,descending,211.11165
35.25,29.0,descending,210.30998
35.25,29.25,descending,210.40833
35.25,29.5,descending,210.67888
35.25,29.75,descending,210.81555
35.25,30.0,descending,211.05692
35.25,30.25,descending,209.48
35.25,30.5,descending,209.59001
35.25,30.75,descending,210.05334
35.25,31.0,descending,210.45
35.25,31.25,descending,211.135
35.25,31.5,descending,212.36665
35.25,31.75,descending,213.38335
35.25,32.0,descending,214.57332
35.25,32.25,descending,218.35
35.25,32.5,descending,228.43666
35.25,32.75,descending,239.965
35.25,33.0,descending,248.31331
35.25,33.25,descending,251.62498
35.25,33.5,descending,251.48332
35.25,33.75,descending,248.54999
35.25,34.0,descending,234.86333
35.25,34.25,descending,223.07
35.25,34.5,descending,216.43999
35.25,34.75,descending,213.84
35.25,35.0,descending,211.81999
35.25,35.25,descending,210.535
35.25,35.5,descending,211.90332
35.25,35.75,descending,229.97
35.25,36.0,descending,248.90332
35.25,36.25,descending,261.81
35.25,36.5,descending,262.92334
35.25,36.75,descending,262.09668
35.25,37.0,descending,260.97998
35.25,37.25,descending,260.34665
35.25,37.5,descending,260.565
35.25,37.75,descending,261.02332
35.25,38.0,descending,261.13998
35.5,-12.5,descending,209.24554
35.5,-12.25,descending,208.91736
35.5,-12.0,descending,208.47588
35.5,-11.75,descending,207.99715
35.5,-11.5,descending,207.55214
35.5,-11.25,descending,207.22583
35.5,-11.0,descending,207.00182
35.5,-10.75,descending,206.80453
35.5,-10.5,descending,206.63182
35.5,-10.25,descending,206.52374
35.5,-10.0,descending,206.42
35.5,-9.75,descending,206.32777
35.5,-9.5,descending,206.31499
35.5,-9.25,descending,206.37665
35.5,-9.0,descending,206.47375
35.5,-8.75,descending,206.55666
35.5,-8.5,descending,206.61444
35.5,-8.25,descending,206.6825
35.5,-8.0,descending,206.62874
35.5,-7.75,descending,206.52998
35.5,-7.5,descending,206.54
35.5,-7.25,descending,206.54124
35.5,-7.0,descending,206.54999
35.5,-6.75,descending,206.99875
35.5,-6.5,descending,209.35857
35.5,-6.25,descending,219.62125
35.5,-6.0,descending,246.60143
35.5,-5.75,descending,260.56
35.5,-5.5,descending,261.92285
35.5,-5.25,descending,252.48665
35.5,-5.0,descending,243.745
35.5,-4.75,descending,231.92857
35.5,-4.5,descending,225.905
35.5,-4.25,descending,224.44571
35.5,-4.0,descending,227.44554
35.5,-3.75,descending,226.71399
35.5,-3.5,descending,228.845
35.5,-3.25,descending,228.27428
35.5,-3.0,descending,229.04874
35.5,-2.75,descending,223.99142
35.5,-2.5,descending,221.38571
35.5,-2.25,descending,218.43166
35.5,-2.0,descending,220.3775
35.5,-1.75,descending,224.14429
35.5,-1.5,descending,235.38124
35.5,-1.25,descending,247.51373
35.5,-1.0,descending,255.56749
35.5,-0.75,descending,259.15427
35.5,-0.5,descending,261.4057
35.5,-0.25,descending,264.04288
35.5,0.0,descending,258.3622
35.5,0.25,descending,265.19556
35.5,0.5,descending,265.57748
35.5,0.75,descending,265.55
35.5,1.0,descending,266.2311
35.5,1.25,descending,267.22
35.5,1.5,descending,266.8389
35.5,1.75,descending,266.01874
35.5,2.0,descending,266.06198
35.5,2.25,descending,266.5011
35.5,2.5,descending,266.6711
35.5,2.75,descending,266.652
35.5,3.0,descending,266.39886
35.5,3.25,descending,265.03165
35.5,3.5,descending,264.22272
35.5,3.75,descending,264.77335
35.5,4.0,descending,265.05154
35.5,4.25,descending,264.3669
35.5,4.5,descending,261.17865
35.5,4.75,descending,259.46936
35.5,5.0,descending,260.83093
35.5,5.25,descending,260.22565
35.5,5.5,descending,258.63312
35.5,12.25,descending,222.28221
35.5,12.5,descending,220.818
35.5,12.75,descending,219.05133
35.5,13.0,descending,216.65866
35.5,13.25,descending,214.20847
35.5,13.5,descending,213.16417
35.5,13.75,descending,212.3875
35.5,14.0,descending,212.14453
