lat,lon,LST_Kelvin,LST_Celsius
35.25,-0.75,301.75496855345915,28.604968553459173
35.25,-0.5,302.8331487889273,29.683148788927326
35.25,-0.25,302.8264,29.6764
35.25,0.0,302.92706666666663,29.777066666666656
35.25,0.25,301.1535810810811,28.00358108108111
35.25,0.5,297.2694366197183,24.11943661971833
35.25,0.75,301.58733333333333,28.437333333333356
35.25,1.0,301.07647457627115,27.926474576271175
35.25,1.25,298.4250704225352,25.275070422535237
35.25,2.0,293.8248387096774,20.67483870967743
35.25,2.25,295.3435789473684,22.19357894736845
35.25,2.5,296.58342857142856,23.43342857142858
35.25,2.75,298.3124,25.162400000000048
35.25,3.0,299.26320000000004,26.113200000000063
35.25,3.25,295.4746875,22.32468750000004
35.25,3.5,300.3636666666667,27.21366666666671
35.25,3.75,300.8312666666667,27.681266666666716
35.25,4.0,303.47153333333335,30.321533333333377
35.25,4.25,304.9071333333333,31.757133333333343
35.25,4.5,304.2958666666667,31.145866666666734
35.25,4.75,306.56328859060403,33.413288590604054
35.25,5.0,308.6776,35.52760000000001
35.25,5.25,309.7490666666667,36.599066666666715
35.25,5.5,307.32680000000005,34.17680000000007
35.25,5.75,304.7207333333333,31.57073333333335
35.25,6.0,300.5878666666667,27.437866666666707
35.25,6.25,297.72133333333335,24.57133333333337
35.25,6.5,297.34686666666664,24.196866666666665
35.25,6.75,296.7324666666667,23.582466666666733
35.25,7.0,296.71,23.560000000000002
35.25,7.25,299.8156,26.66560000000004
35.25,7.5,298.49940000000004,25.34940000000006
35.25,7.75,301.96073333333334,28.81073333333336
35.25,8.0,297.75806666666665,24.608066666666673
35.25,8.25,299.58393333333333,26.433933333333357
35.25,8.5,304.22933333333333,31.079333333333352
35.25,8.75,303.4734,30.32340000000005
35.25,9.0,306.8247333333333,33.674733333333336
35.25,9.25,308.8525333333333,35.70253333333335
35.25,9.5,309.57093333333336,36.42093333333338
35.25,9.75,308.37300000000005,35.22300000000007
35.25,10.0,310.45686666666666,37.30686666666668
35.25,10.25,309.5096666666667,36.359666666666726
35.25,10.5,308.74420000000003,35.59420000000006
35.25,10.75,307.0546,33.904600000000016
35.25,11.0,305.9593,32.80930000000001
35.25,23.5,295.93223300970874,22.78223300970876
35.25,23.75,294.2251636363636,21.07516363636364
35.25,24.0,289.0912396694215,15.94123966942152
35.25,24.25,292.89,19.74000000000001
35.25,24.5,294.62771784232365,21.47771784232367
35.25,24.75,292.2084705882353,19.05847058823531
35.25,25.0,293.391875,20.24187500000005
35.25,25.25,297.1349397590362,23.984939759036195
35.25,25.5,294.214,21.06400000000002
35.25,25.75,289.64,16.49000000000001
35.25,26.75,297.8755555555556,24.725555555555616
35.25,27.0,298.17125,25.02125000000001
35.25,33.0,296.64502673796795,23.495026737967976
35.25,33.25,294.7528787878788,21.602878787878808
35.25,33.5,297.0153086419753,23.865308641975332
35.25,33.75,299.1334234234234,25.983423423423403
35.25,34.0,301.1532222222222,28.003222222222234
35.25,36.0,296.3804761904762,23.230476190476224
35.25,36.25,295.82871794871795,22.678717948717974
35.25,36.5,298.60385964912285,25.453859649122876
35.25,36.75,298.02,24.870000000000005
35.25,37.0,302.2964705882353,29.14647058823533
35.25,37.25,300.3827586206897,27.232758620689708
35.25,37.5,301.2930909090909,28.143090909090915
35.25,37.75,301.04660714285717,27.896607142857192
35.25,38.0,302.1230769230769,28.973076923076917
35.5,-1.25,294.87925925925924,21.729259259259265
35.5,-1.0,295.04,21.890000000000043
35.5,-0.75,300.1031746031746,26.953174603174602
35.5,-0.5,302.3438190954774,29.19381909547741
35.5,-0.25,303.004,29.854000000000042
35.5,0.0,303.25166666666667,30.101666666666688
35.5,0.25,301.60816644993497,28.458166449934993
35.5,0.5,298.71192660550463,25.561926605504652
35.5,0.75,304.19986666666665,31.049866666666674
35.5,1.0,303.2790666666667,30.129066666666745
35.5,1.25,300.8149693251534,27.664969325153436
35.5,1.5,299.629138576779,26.479138576779008
35.5,1.75,298.936,25.786
35.5,2.25,294.2217857142858,21.071785714285795
35.5,2.5,293.74,20.590000000000032
35.5,2.75,297.5114363885089,24.361436388508935
35.5,3.0,297.3120231213873,24.162023121387335
35.5,3.25,293.20349999999996,20.053499999999985
35.5,3.5,298.6849093107618,25.534909310761805
35.5,3.75,300.27402222222224,27.124022222222266
