station,latitude,longitude,brightness_temp_37v,temperature
AMF_US-Aud_BASE-BADM_4-1,31.59,-110.51,,291.065
AMF_US-Bkg_BASE-BADM_4-1,44.35,-96.84,,279.16
AMF_US-Blk_BASE-BADM_2-1,44.16,-103.65,,279.385
AMF_US-Bo1_BASE-BADM_2-1,40.01,-88.29,,279.63
AMF_US-Bo2_BASE-BADM_2-1,40.01,-88.29,,276.935
AMF_US-FPe_BASE-BADM_2-1,48.31,-105.1,,284.28
AMF_US-MMS_BASE-BADM_25-5,39.32,-86.41,,284.31
FLX_DE-Geb_FLUXNET2015_FULLSET_2001-2014_1-4,51.1,10.91,267.40002523809517,279.885
FLX_DE-Hai_FLUXNET2015_FULLSET_2000-2012_1-4,51.08,10.45,267.66781711538465,279.47
FLX_FR-LBr_FLUXNET2015_FULLSET_1996-2008_1-4,44.72,-0.77,251.88451687499997,284.21
