station,latitude,longitude,brightness_temp_37v,temperature
AMF_US-Aud_BASE-BADM_4-1,31.59,-110.51,,283.01
AMF_US-Bkg_BASE-BADM_4-1,44.35,-96.84,,271.17
AMF_US-Blk_BASE-BADM_2-1,44.16,-103.65,,269.2
AMF_US-FPe_BASE-BADM_2-1,48.31,-105.1,,272.835
AMF_US-MMS_BASE-BADM_25-5,39.32,-86.41,,274.97
AMF_US-MOz_BASE-BADM_11-5,38.7,-92.2,,277.001
FLX_DE-Hai_FLUXNET2015_FULLSET_2000-2012_1-4,51.08,10.45,254.9736225,273.58
FLX_FR-LBr_FLUXNET2015_FULLSET_1996-2008_1-4,44.72,-0.77,250.78918984374997,277.03
FLX_IT-Col_FLUXNET2015_FULLSET_1996-2014_1-4,41.85,13.59,237.37587234375,273.637
FLX_NL-Loo_FLUXNET2015_FULLSET_1996-2014_1-4,52.17,5.74,256.5992539655172,277.021
