station,latitude,longitude,brightness_temp_37v,temperature
AMF_US-Aud_BASE-BADM_4-1,31.59,-110.51,,294.375
AMF_US-Bkg_BASE-BADM_4-1,44.35,-96.84,,289.655
AMF_US-MMS_BASE-BADM_25-5,39.32,-86.41,,293.13
AMF_US-MOz_BASE-BADM_11-5,38.7,-92.2,,293.136
