station,latitude,longitude,brightness_temp_37v,temperature
AMF_US-Aud_BASE-BADM_4-1,31.59,-110.51,,301.4
AMF_US-Bkg_BASE-BADM_4-1,44.35,-96.84,,295.02
AMF_US-Bo1_BASE-BADM_2-1,40.01,-88.29,,294.39
AMF_US-Bo2_BASE-BADM_2-1,40.01,-88.29,,295.54
AMF_US-Dk3_BASE-BADM_4-5,35.98,-79.09,,294.384
AMF_US-MMS_BASE-BADM_25-5,39.32,-86.41,,292.4
AMF_US-MOz_BASE-BADM_11-5,38.7,-92.2,,295.012
FLX_DE-Geb_FLUXNET2015_FULLSET_2001-2014_1-4,51.1,10.91,272.59389875,284.315
FLX_DE-Hai_FLUXNET2015_FULLSET_2000-2012_1-4,51.08,10.45,272.56529390624996,285.09
FLX_IT-Col_FLUXNET2015_FULLSET_1996-2014_1-4,41.85,13.59,260.86057875,284.405
