station,latitude,longitude,brightness_temp_37v,temperature
AMF_US-Aud_BASE-BADM_4-1,31.59,-110.51,,276.73
AMF_US-Bkg_BASE-BADM_4-1,44.35,-96.84,,273.965
AMF_US-Bo1_BASE-BADM_2-1,40.01,-88.29,,273.25
AMF_US-Bo2_BASE-BADM_2-1,40.01,-88.29,,274.82
AMF_US-FPe_BASE-BADM_2-1,48.31,-105.1,,268.4
AMF_US-MMS_BASE-BADM_25-5,39.32,-86.41,,275.53
FLX_DE-Geb_FLUXNET2015_FULLSET_2001-2014_1-4,51.1,10.91,261.71921640625,274.855
FLX_FR-LBr_FLUXNET2015_FULLSET_1996-2008_1-4,44.72,-0.77,251.473928125,280.87
