station,latitude,longitude,brightness_temp_37v,temperature
AMF_US-Aud_BASE-BADM_4-1,31.59,-110.51,,286.775
AMF_US-Bkg_BASE-BADM_4-1,44.35,-96.84,,281.655
AMF_US-Blk_BASE-BADM_2-1,44.16,-103.65,,271.575
AMF_US-Bo1_BASE-BADM_2-1,40.01,-88.29,,288.04
AMF_US-Dk3_BASE-BADM_4-5,35.98,-79.09,,286.616
AMF_US-MMS_BASE-BADM_25-5,39.32,-86.41,,287.35
AMF_US-MOz_BASE-BADM_11-5,38.7,-92.2,,287.508
FLX_DE-Geb_FLUXNET2015_FULLSET_2001-2014_1-4,51.1,10.91,265.98976390625,277.415
FLX_DE-Hai_FLUXNET2015_FULLSET_2000-2012_1-4,51.08,10.45,266.5130965625,278.4
FLX_NL-Loo_FLUXNET2015_FULLSET_1996-2014_1-4,52.17,5.74,258.6063921875,281.94
