station,latitude,longitude,brightness_temp_37v,temperature
AMF_US-Blk_BASE-BADM_2-1,44.16,-103.65,,277.205
AMF_US-Bo2_BASE-BADM_2-1,40.01,-88.29,,284.88
AMF_US-MMS_BASE-BADM_25-5,39.32,-86.41,,287.1
AMF_US-MOz_BASE-BADM_11-5,38.7,-92.2,,288.833
FLX_DE-Hai_FLUXNET2015_FULLSET_2000-2012_1-4,51.08,10.45,265.56100609375,279.755
FLX_FR-LBr_FLUXNET2015_FULLSET_1996-2008_1-4,44.72,-0.77,246.89463234375,284.71
FLX_IT-Col_FLUXNET2015_FULLSET_1996-2014_1-4,41.85,13.59,255.6174825,279.119
FLX_NL-Loo_FLUXNET2015_FULLSET_1996-2014_1-4,52.17,5.74,256.06993234375,283.21
