station,latitude,longitude,brightness_temp_37v,temperature
AMF_US-Bkg_BASE-BADM_4-1,44.35,-96.84,,289.188
AMF_US-Blk_BASE-BADM_2-1,44.16,-103.65,,277.155
AMF_US-Bo1_BASE-BADM_2-1,40.01,-88.29,,293.52
AMF_US-FPe_BASE-BADM_2-1,48.31,-105.1,,279.505
AMF_US-MMS_BASE-BADM_25-5,39.32,-86.41,,292.62
AMF_US-MOz_BASE-BADM_11-5,38.7,-92.2,,294.1
FLX_DE-Geb_FLUXNET2015_FULLSET_2001-2014_1-4,51.1,10.91,273.41028296875004,284.9
FLX_DE-Hai_FLUXNET2015_FULLSET_2000-2012_1-4,51.08,10.45,273.68392,284.08
FLX_FR-LBr_FLUXNET2015_FULLSET_1996-2008_1-4,44.72,-0.77,236.44151355555553,285.315
FLX_NL-Loo_FLUXNET2015_FULLSET_1996-2014_1-4,52.17,5.74,257.89657312500003,286.03
