latitude,longitude,land_cover_class
-89.875,-113.625,15
-89.875,-113.375,15
-89.875,-113.125,15
-89.875,-112.875,15
-89.875,-112.625,15
-89.875,-112.375,15
-89.875,-112.125,15
-89.875,-111.875,15
-89.875,-111.625,15
-89.875,-111.375,15
-89.875,-111.125,15
-89.875,-110.875,15
-89.875,-110.625,15
-89.875,-110.375,15
-89.875,-110.125,15
-89.875,-109.875,15
-89.875,-109.625,15
-89.875,-109.375,15
-89.875,-109.125,15
-89.875,-108.875,15
-89.875,-108.625,15
-89.875,-108.375,15
-89.875,-108.125,15
-89.875,-107.875,15
-89.875,-107.625,15
-89.875,-107.375,15
-89.875,-107.125,15
-89.875,-106.875,15
-89.875,-106.625,15
-89.875,-106.375,15
-89.875,-106.125,15
-89.875,-105.875,15
-89.875,-105.625,15
-89.875,-105.375,15
-89.875,-105.125,15
-89.875,-104.875,15
-89.875,-104.625,15
-89.875,-104.375,15
-89.875,-104.125,15
-89.875,-103.875,15
-89.875,-103.625,15
-89.875,-103.375,15
-89.875,-103.125,15
-89.875,-102.875,15
-89.875,-102.625,15
-89.875,-102.375,15
-89.875,-102.125,15
-89.875,-101.875,15
-89.875,-101.625,15
-89.875,-101.375,15
-89.875,-101.125,15
-89.875,-100.875,15
-89.875,-100.625,15
-89.875,-100.375,15
-89.875,-100.125,15
-89.875,-99.875,15
-89.875,-99.625,15
-89.875,-99.375,15
-89.875,-99.125,15
-89.875,-98.875,15
-89.875,-98.625,15
-89.875,-98.375,15
-89.875,-98.125,15
-89.875,-97.875,15
-89.875,-97.625,15
-89.875,-97.375,15
-89.875,-97.125,15
-89.875,-96.875,15
-89.875,-96.625,15
-89.875,-96.375,15
-89.875,-96.125,15
-89.875,-95.875,15
-89.875,-95.625,15
-89.875,-95.375,15
-89.875,-95.125,15
-89.875,-94.875,15
-89.875,-94.625,15
-89.875,-94.375,15
-89.875,-94.125,15
-89.875,-93.875,15
-89.875,-93.625,15
-89.875,-93.375,15
-89.875,-93.125,15
-89.875,-92.875,15
-89.875,-92.625,15
-89.875,-92.375,15
-89.875,-92.125,15
-89.875,-91.875,15
-89.875,-91.625,15
-89.875,-91.375,15
-89.875,-91.125,15
-89.875,-90.875,15
-89.875,-90.625,15
-89.875,-90.375,15
-89.875,-90.125,15
-89.875,-89.875,15
-89.875,-89.625,15
-89.875,-89.375,15
-89.875,-89.125,15
-89.875,-88.875,15
-89.875,-88.625,15
-89.875,-88.375,15
-89.875,-88.125,15
-89.875,-87.875,15
-89.875,-87.625,15
-89.875,-87.375,15
-89.875,-87.125,15
-89.875,-86.875,15
-89.875,-86.625,15
-89.875,-86.375,15
-89.875,-86.125,15
-89.875,-85.875,15
-89.875,-85.625,15
-89.875,-85.375,15
-89.875,-85.125,15
-89.875,-84.875,15
-89.875,-84.625,15
-89.875,-84.375,15
-89.875,-84.125,15
-89.875,-83.875,15
-89.875,-83.625,15
-89.875,-83.375,15
-89.875,-83.125,15
-89.875,-82.875,15
-89.875,-82.625,15
-89.875,-82.375,15
-89.875,-82.125,15
-89.875,-81.875,15
-89.875,-81.625,15
-89.875,-81.375,15
-89.875,-81.125,15
-89.875,-80.875,15
-89.875,-80.625,15
-89.875,-80.375,15
-89.875,-80.125,15
