latitude,longitude,pass_type,brightness_temp_19v
35.25,-13.0,ascending,190.44
35.25,-12.75,ascending,190.38998
35.25,-12.5,ascending,190.3575
35.25,-12.25,ascending,190.29668
35.25,-12.0,ascending,190.10667
35.25,-11.75,ascending,189.99666
35.25,-11.5,ascending,190.18
35.25,-11.25,ascending,190.56
35.25,-11.0,ascending,190.79
35.25,-10.75,ascending,190.86
35.25,-10.5,ascending,191.12
35.25,-10.25,ascending,191.5875
35.25,-10.0,ascending,192.366
35.25,-9.75,ascending,193.07999
35.25,-9.5,ascending,192.91167
35.25,-9.25,ascending,191.89221
35.25,-9.0,ascending,191.27667
35.25,-2.25,ascending,209.11002
35.25,-2.0,ascending,213.18999
35.25,-1.75,ascending,215.066
35.25,-1.5,ascending,231.27998
35.25,-1.25,ascending,243.22249
35.25,-1.0,ascending,266.81598
35.25,-0.75,ascending,278.68332
35.25,-0.5,ascending,287.735
35.25,-0.25,ascending,294.0075
35.25,0.0,ascending,272.38
35.25,0.25,ascending,298.495
35.25,0.5,ascending,299.80667
35.25,0.75,ascending,300.21664
35.25,1.0,ascending,301.54666
35.25,1.25,ascending,302.46
35.25,1.5,ascending,302.71
35.25,1.75,ascending,302.59998
35.25,2.0,ascending,302.54666
35.25,2.25,ascending,302.47333
35.25,2.5,ascending,302.51
35.25,2.75,ascending,302.95667
35.25,3.0,ascending,303.68997
35.25,3.25,ascending,303.40997
35.25,3.5,ascending,300.625
35.25,3.75,ascending,298.86667
35.25,4.0,ascending,298.03998
35.25,4.25,ascending,298.83334
35.25,4.5,ascending,299.71
35.25,4.75,ascending,299.26334
35.25,5.0,ascending,298.21997
35.25,5.25,ascending,298.16498
35.25,5.5,ascending,296.69
35.25,5.75,ascending,294.72498
35.25,6.0,ascending,294.26498
35.25,6.25,ascending,294.6
35.25,6.5,ascending,295.36
35.25,6.75,ascending,295.12
35.25,7.0,ascending,294.01
35.25,7.25,ascending,293.26666
35.25,7.5,ascending,295.16998
35.25,7.75,ascending,295.865
