station,latitude,longitude,brightness_temp_19v,temperature
AMF_US-Aud_BASE-BADM_4-1,31.59,-110.51,,283.355
AMF_US-Bkg_BASE-BADM_4-1,44.35,-96.84,,277.84
AMF_US-Dk3_BASE-BADM_4-5,35.98,-79.09,,286.806
AMF_US-FPe_BASE-BADM_2-1,48.31,-105.1,,275.08
AMF_US-MMS_BASE-BADM_25-5,39.32,-86.41,,284.35
AMF_US-MOz_BASE-BADM_11-5,38.7,-92.2,,284.376
FLX_DE-Geb_FLUXNET2015_FULLSET_2001-2014_1-4,51.1,10.91,265.85653703125,275.25
FLX_DE-Hai_FLUXNET2015_FULLSET_2000-2012_1-4,51.08,10.45,266.22563078125,280.355
FLX_FR-LBr_FLUXNET2015_FULLSET_1996-2008_1-4,44.72,-0.77,249.99201015625002,284.22
FLX_IT-Col_FLUXNET2015_FULLSET_1996-2014_1-4,41.85,13.59,247.30864625,280.261
FLX_NL-Loo_FLUXNET2015_FULLSET_1996-2014_1-4,52.17,5.74,251.22937620689655,284.25
