station,latitude,longitude,brightness_temp_19v,temperature
AMF_US-Bkg_BASE-BADM_4-1,44.35,-96.84,,292.905
AMF_US-Blk_BASE-BADM_2-1,44.16,-103.65,,287.66
AMF_US-Bo1_BASE-BADM_2-1,40.01,-88.29,,290.475
AMF_US-Bo2_BASE-BADM_2-1,40.01,-88.29,,285.79
AMF_US-Dk3_BASE-BADM_4-5,35.98,-79.09,,292.0
AMF_US-FPe_BASE-BADM_2-1,48.31,-105.1,,292.97
AMF_US-MMS_BASE-BADM_25-5,39.32,-86.41,,289.521
AMF_US-MOz_BASE-BADM_11-5,38.7,-92.2,,292.003
FLX_FR-LBr_FLUXNET2015_FULLSET_1996-2008_1-4,44.72,-0.77,253.24332066666665,292.23
FLX_NL-Loo_FLUXNET2015_FULLSET_1996-2014_1-4,52.17,5.74,263.53502249999997,287.28
