station,latitude,longitude,brightness_temp_19v,temperature
AMF_US-Aud_BASE-BADM_4-1,31.59,-110.51,,281.54
AMF_US-Bkg_BASE-BADM_4-1,44.35,-96.84,,270.75
AMF_US-Bo1_BASE-BADM_2-1,40.01,-88.29,,281.005
AMF_US-Dk3_BASE-BADM_4-5,35.98,-79.09,,282.051
AMF_US-FPe_BASE-BADM_2-1,48.31,-105.1,,266.775
AMF_US-MMS_BASE-BADM_25-5,39.32,-86.41,,280.77
AMF_US-MOz_BASE-BADM_11-5,38.7,-92.2,,282.34
FLX_DE-Geb_FLUXNET2015_FULLSET_2001-2014_1-4,51.1,10.91,262.2148806976744,277.905
FLX_DE-Hai_FLUXNET2015_FULLSET_2000-2012_1-4,51.08,10.45,262.4867756603774,276.23
FLX_NL-Loo_FLUXNET2015_FULLSET_1996-2014_1-4,52.17,5.74,249.55125453125,278.968
