station,latitude,longitude,brightness_temp_19v,temperature
AMF_US-Aud_BASE-BADM_4-1,31.59,-110.51,,284.33
AMF_US-Bkg_BASE-BADM_4-1,44.35,-96.84,,273.94
AMF_US-Bo1_BASE-BADM_2-1,40.01,-88.29,,271.165
AMF_US-FPe_BASE-BADM_2-1,48.31,-105.1,,274.125
AMF_US-MMS_BASE-BADM_25-5,39.32,-86.41,,275.58
FLX_DE-Geb_FLUXNET2015_FULLSET_2001-2014_1-4,51.1,10.91,263.09840046875,272.7
FLX_DE-Hai_FLUXNET2015_FULLSET_2000-2012_1-4,51.08,10.45,262.914820625,273.63
FLX_FR-LBr_FLUXNET2015_FULLSET_1996-2008_1-4,44.72,-0.77,219.4149297560976,278.86
FLX_IT-Col_FLUXNET2015_FULLSET_1996-2014_1-4,41.85,13.59,239.53484109375,273.598
FLX_NL-Loo_FLUXNET2015_FULLSET_1996-2014_1-4,52.17,5.74,246.18593203125,277.035
