latitude,longitude,pass_type,brightness_temp_19v
35.25,-7.0,ascending,189.35333
35.25,-6.75,ascending,191.11143
35.25,-6.5,ascending,197.49399
35.25,-6.25,ascending,208.754
35.25,-6.0,ascending,237.59999
35.25,-5.75,ascending,261.91333
35.25,-5.5,ascending,280.876
35.25,-5.25,ascending,283.69333
35.25,-5.0,ascending,270.5625
35.25,-4.75,ascending,247.83333
35.25,-4.5,ascending,222.895
35.25,-4.25,ascending,211.88998
35.25,-4.0,ascending,212.7775
35.25,-3.75,ascending,214.62
35.25,-3.5,ascending,212.40999
35.25,-3.25,ascending,213.83667
35.25,-3.0,ascending,212.77
35.25,-2.75,ascending,207.34001
35.25,-2.5,ascending,201.56999
35.25,-2.25,ascending,200.15666
35.25,-2.0,ascending,200.54
35.25,-1.75,ascending,206.82666
35.25,-1.5,ascending,216.22333
35.25,-1.25,ascending,231.68
35.25,-1.0,ascending,259.17334
35.25,-0.75,ascending,277.53497
35.25,-0.5,ascending,283.955
35.25,-0.25,ascending,289.24
35.25,0.0,ascending,292.84665
35.25,0.25,ascending,296.04333
35.25,0.5,ascending,298.71002
35.25,0.75,ascending,301.77
35.25,1.0,ascending,302.95502
35.25,1.25,ascending,302.78
35.25,1.5,ascending,302.09497
35.25,1.75,ascending,300.62
35.25,2.0,ascending,299.91498
35.25,2.25,ascending,299.15665
35.25,2.5,ascending,298.825
35.25,2.75,ascending,298.99
35.25,3.0,ascending,299.89334
35.25,3.25,ascending,299.60666
35.25,3.5,ascending,296.77
35.25,3.75,ascending,296.64664
35.25,4.0,ascending,298.03497
35.25,4.25,ascending,298.54333
35.25,4.5,ascending,298.32
35.25,4.75,ascending,295.28665
35.25,5.0,ascending,294.22665
35.25,5.25,ascending,296.38998
35.25,5.5,ascending,295.64664
35.25,5.75,ascending,293.53
35.25,6.0,ascending,292.6
35.25,6.25,ascending,291.58
35.25,6.5,ascending,290.75
35.25,6.75,ascending,290.00998
35.25,7.0,ascending,288.47336
35.25,7.25,ascending,289.80334
35.25,7.5,ascending,291.95334
35.25,7.75,ascending,292.025
35.25,8.0,ascending,290.97665
35.25,8.25,ascending,290.0533
35.25,8.5,ascending,289.03
35.25,8.75,ascending,287.93002
35.25,9.0,ascending,287.1175
35.25,9.25,ascending,287.18
35.25,9.5,ascending,286.94598
35.25,9.75,ascending,287.43332
35.25,10.0,ascending,285.846
35.25,10.25,ascending,280.49167
35.25,10.5,ascending,275.55832
35.25,10.75,ascending,264.58298
35.25,11.0,ascending,250.89749
35.25,17.75,ascending,195.43199
35.25,18.0,ascending,195.40332
35.25,18.25,ascending,195.38832
35.25,18.5,ascending,195.372
35.25,18.75,ascending,195.31999
35.25,19.0,ascending,195.255
35.25,19.25,ascending,195.0925
35.25,19.5,ascending,194.915
35.25,19.75,ascending,194.65999
35.25,20.0,ascending,194.4475
35.25,20.25,ascending,194.32666
35.25,20.5,ascending,194.31999
35.25,20.75,ascending,194.30249
35.25,21.0,ascending,194.15999
35.25,21.25,ascending,193.89333
35.25,21.5,ascending,193.59666
35.25,21.75,ascending,193.415
35.25,22.0,ascending,193.34666
35.25,22.25,ascending,193.07
35.25,22.5,ascending,192.79999
35.25,22.75,ascending,191.92334
35.25,23.0,ascending,191.48499
35.25,23.25,ascending,192.54668
35.25,23.5,ascending,202.96
35.25,23.75,ascending,221.15999
35.25,24.0,ascending,233.14665
35.25,24.25,ascending,233.26999
35.25,24.5,ascending,225.56665
35.25,24.75,ascending,228.42499
35.25,25.0,ascending,227.685
35.25,25.25,ascending,223.39667
35.25,25.5,ascending,218.19499
35.25,25.75,ascending,211.04
35.25,26.0,ascending,204.23
35.25,26.25,ascending,201.425
35.25,26.5,ascending,195.68333
35.25,26.75,ascending,194.51999
35.25,27.0,ascending,197.48999
35.25,27.25,ascending,200.19
35.25,27.5,ascending,196.27
35.25,27.75,ascending,193.4
35.25,28.0,ascending,193.87666
35.25,28.25,ascending,193.51
35.25,28.5,ascending,192.69334
35.25,28.75,ascending,192.66
35.25,29.0,ascending,193.05333
35.25,29.25,ascending,193.64665
35.25,29.5,ascending,194.23
35.25,29.75,ascending,195.67665
35.25,30.0,ascending,195.32666
35.25,30.25,ascending,194.79
35.25,30.5,ascending,194.22667
35.25,30.75,ascending,193.87
35.25,31.0,ascending,193.95332
35.25,31.25,ascending,194.255
35.25,31.5,ascending,194.55
35.25,31.75,ascending,194.69
35.25,32.0,ascending,194.71999
35.25,32.25,ascending,196.29
35.25,32.5,ascending,199.75334
35.25,32.75,ascending,208.13666
35.25,33.0,ascending,216.92249
35.25,33.25,ascending,221.84666
35.25,33.5,ascending,227.17249
35.25,33.75,ascending,227.25749
35.25,34.0,ascending,224.02998
35.25,34.25,ascending,211.5925
35.25,34.5,ascending,199.39
35.25,34.75,ascending,193.15167
35.25,35.0,ascending,192.13249
35.25,35.25,ascending,195.4775
35.25,35.5,ascending,206.06
35.25,35.75,ascending,212.98665
35.5,-7.0,ascending,188.90833
35.5,-6.75,ascending,189.7085
35.5,-6.5,ascending,194.69943
35.5,-6.25,ascending,205.35614
35.5,-6.0,ascending,228.05429
35.5,-5.75,ascending,251.66547
35.5,-5.5,ascending,269.99918
35.5,-5.25,ascending,266.5
35.5,-5.0,ascending,244.045
35.5,-4.75,ascending,216.35545
35.5,-4.5,ascending,199.80554
35.5,-4.25,ascending,196.873
35.5,-4.0,ascending,196.246
35.5,-3.75,ascending,197.98999
35.5,-3.5,ascending,197.31778
35.5,-3.25,ascending,198.18124
35.5,-3.0,ascending,197.54
35.5,-2.75,ascending,194.48714
35.5,-2.5,ascending,193.645
35.5,-2.25,ascending,193.135
35.5,-2.0,ascending,194.68375
35.5,-1.75,ascending,197.19624
35.5,-1.5,ascending,203.71332
35.5,-1.25,ascending,221.54999
35.5,-1.0,ascending,240.35715
35.5,-0.75,ascending,257.4
35.5,-0.5,ascending,264.7314
35.5,-0.25,ascending,275.17572
35.5,0.0,ascending,258.73108
35.5,0.25,ascending,285.39142
35.5,0.5,ascending,293.36002
35.5,0.75,ascending,300.11166
35.5,1.0,ascending,302.50552
35.5,1.25,ascending,302.7983
35.5,1.5,ascending,302.31857
35.5,1.75,ascending,301.4343
35.5,2.0,ascending,300.6314
35.5,2.25,ascending,299.79712
35.5,2.5,ascending,299.43997
35.5,2.75,ascending,299.46
35.5,3.0,ascending,300.2175
35.5,3.25,ascending,300.22
35.5,3.5,ascending,298.82
35.5,3.75,ascending,298.11398
35.5,4.0,ascending,298.94833
35.5,4.25,ascending,298.93997
35.5,4.5,ascending,298.19666
35.5,4.75,ascending,295.79428
35.5,5.0,ascending,294.68124
35.5,5.25,ascending,296.14374
35.5,5.5,ascending,295.55856
35.5,5.75,ascending,294.28714
35.5,6.0,ascending,293.9222
35.5,6.25,ascending,293.78625
35.5,6.5,ascending,292.18887
35.5,6.75,ascending,290.40875
35.5,7.0,ascending,287.815
35.5,7.25,ascending,288.8678
35.5,7.5,ascending,291.93445
35.5,7.75,ascending,292.63376
35.5,8.0,ascending,291.89554
35.5,8.25,ascending,290.79816
35.5,8.5,ascending,290.007
35.5,8.75,ascending,289.119
35.5,9.0,ascending,288.77417
35.5,9.25,ascending,288.85583
35.5,9.5,ascending,289.29333
35.5,9.75,ascending,289.9
35.5,10.0,ascending,287.95285
35.5,10.25,ascending,278.53824
35.5,10.5,ascending,267.35788
35.5,10.75,ascending,255.33458
35.5,11.0,ascending,246.29091
35.5,17.75,ascending,195.19812
35.5,18.0,ascending,195.22118
35.5,18.25,ascending,195.232
35.5,18.5,ascending,195.29066
35.5,18.75,ascending,195.26
35.5,19.0,ascending,195.17154
35.5,19.25,ascending,195.012
35.5,19.5,ascending,194.82182
35.5,19.75,ascending,194.59091
35.5,20.0,ascending,194.46666
35.5,20.25,ascending,194.44199
35.5,20.5,ascending,194.47112
35.5,20.75,ascending,194.46375
35.5,21.0,ascending,194.29778
35.5,21.25,ascending,194.07333
35.5,21.5,ascending,193.87999
35.5,21.75,ascending,193.82375
35.5,22.0,ascending,193.94875
35.5,22.25,ascending,193.73999
35.5,22.5,ascending,193.065
35.5,22.75,ascending,192.20999
35.5,23.0,ascending,191.59714
35.5,23.25,ascending,193.65625
35.5,23.5,ascending,202.84375
35.5,23.75,ascending,217.03749
35.5,24.0,ascending,220.90141
35.5,24.25,ascending,218.23715
35.5,24.5,ascending,207.54857
35.5,24.75,ascending,211.38875
35.5,25.0,ascending,206.16856
35.5,25.25,ascending,207.16428
35.5,25.5,ascending,201.3675
35.5,25.75,ascending,199.89714
35.5,26.0,ascending,195.99666
35.5,26.25,ascending,195.4925
35.5,26.5,ascending,193.62334
35.5,26.75,ascending,194.16875
35.5,27.0,ascending,198.10571
35.5,27.25,ascending,200.05124
35.5,27.5,ascending,196.146
35.5,27.75,ascending,196.02713
35.5,28.0,ascending,198.84125
35.5,28.25,ascending,196.1575
35.5,28.5,ascending,193.3243
35.5,28.75,ascending,192.63374
35.5,29.0,ascending,193.1925
35.5,29.25,ascending,194.42285
35.5,29.5,ascending,196.4025
35.5,29.75,ascending,199.14333
35.5,30.0,ascending,197.64624
35.5,30.25,ascending,196.56874
35.5,30.5,ascending,195.41
35.5,30.75,ascending,194.30571
35.5,31.0,ascending,194.00125
35.5,31.25,ascending,194.15778
35.5,31.5,ascending,194.4911
35.5,31.75,ascending,194.88249
35.5,32.0,ascending,195.74666
35.5,32.25,ascending,197.55875
35.5,32.5,ascending,200.37445
35.5,32.75,ascending,202.03453
35.5,33.0,ascending,204.45
35.5,33.25,ascending,205.174
35.5,33.5,ascending,205.8109
35.5,33.75,ascending,206.96909
35.5,34.0,ascending,211.38545
35.5,34.25,ascending,208.00084
35.5,34.5,ascending,199.95999
35.5,34.75,ascending,194.52428
35.5,35.0,ascending,192.83
35.5,35.25,ascending,195.36737
35.5,35.5,ascending,206.0211
35.5,35.75,ascending,214.41333
35.75,-7.25,ascending,188.62666
35.75,-7.0,ascending,188.7442
35.75,-6.75,ascending,189.11125
35.75,-6.5,ascending,191.52061
35.75,-6.25,ascending,198.45152
35.75,-6.0,ascending,213.50166
35.75,-5.75,ascending,231.02417
35.75,-5.5,ascending,241.64453
35.75,-5.25,ascending,233.88501
35.75,-5.0,ascending,215.13399
35.75,-4.75,ascending,200.40999
35.75,-4.5,ascending,192.73222
35.75,-4.25,ascending,190.86334
35.75,-4.0,ascending,190.66556
35.75,-3.75,ascending,190.87
35.75,-3.5,ascending,190.98125
35.75,-3.25,ascending,191.43
35.75,-3.0,ascending,191.485
35.75,-2.75,ascending,191.42429
35.75,-2.5,ascending,191.4975
35.75,-2.25,ascending,191.52374
35.75,-2.0,ascending,191.67714
35.75,-1.75,ascending,192.45
35.75,-1.5,ascending,195.05142
35.75,-1.25,ascending,201.27
35.75,-1.0,ascending,212.20999
35.75,-0.75,ascending,222.99374
35.75,-0.5,ascending,231.8
35.75,-0.25,ascending,238.83855
35.75,0.0,ascending,229.97
35.75,0.25,ascending,261.6443
35.75,0.5,ascending,280.445
35.75,0.75,ascending,293.55142
35.75,1.0,ascending,295.84833
35.75,1.25,ascending,299.75714
35.75,1.5,ascending,300.52856
35.75,1.75,ascending,300.80667
35.75,2.0,ascending,299.79288
35.75,2.25,ascending,299.30713
35.75,2.5,ascending,298.85165
35.75,2.75,ascending,298.82428
35.75,3.0,ascending,299.1014
35.75,3.25,ascending,299.47
35.75,3.5,ascending,299.17596
35.75,3.75,ascending,299.28125
35.75,4.0,ascending,299.205
35.75,4.25,ascending,298.27997
35.75,4.5,ascending,297.21664
