TIMESTAMP_START;AMF_US-Aud_BASE-BADM_4-1;AMF_US-Bkg_BASE-BADM_4-1;AMF_US-Blk_BASE-BADM_2-1;AMF_US-Bo1_BASE-BADM_2-1;AMF_US-Bo2_BASE-BADM_2-1;AMF_US-Dk3_BASE-BADM_4-5;AMF_US-FPe_BASE-BADM_2-1;AMF_US-MMS_BASE-BADM_25-5;AMF_US-MOz_BASE-BADM_11-5;FLX_DE-Geb_FLUXNET2015_FULLSET_2001-2014_1-4;FLX_DE-Hai_FLUXNET2015_FULLSET_2000-2012_1-4;FLX_FR-LBr_FLUXNET2015_FULLSET_1996-2008_1-4;FLX_IT-Col_FLUXNET2015_FULLSET_1996-2014_1-4;FLX_NL-Loo_FLUXNET2015_FULLSET_1996-2014_1-4
15/06/2005;2.996.025;2.907.525;2.801.075;291.88;28.636.499.999.999.900;293.452;28.889.025;292.34;29.235.125;287.06;284.275;2.869.825;28.205.025;2.859.175
16/06/2005;299.725;290.09;2.838.475;2.907.075;285.7;29.351.625;292.88;291.89;291.168;285.77;285.515;2.885.875;281.852;286.275
17/06/2005;2.985.675;290.9;283.81;290.265;285.755;29.317.925;2.942.475;290.42;29.271.849.999.999.900;287.995;2.861.325;2.896.975;28.250.199.999.999.900;2.866.425
18/06/2005;297.265;291.48;2.880.275;2.901.425;285.755;2.924.335;294.19;28.992.999.999.999.900;2.919.525;289.59;28.642.499.999.999.900;291.255;283.08;286.95
19/06/2005;2.977.875;292.905;287.66;290.475;285.79;292.0;292.97;289.521;292.003;28.511.499.999.999.900;2.857.725;292.23;28.339.374.999.999.900;287.28
20/06/2005;296.745;2.941.675;2.900.825;291.695;286.89;291.605;2.926.425;289.9;2.921.725;2.861.225;2.867.825;2.911.975;28.371.124.999.999.900;2.876.625
21/06/2005;3.000.475;294.03;;29.336.749.999.999.900;288.22;29.166.425;;290.53;2.928.345;286.6;287.605;290.705;2.837.005;2.881.975
22/06/2005;3.002.275;29.361.499.999.999.900;2.875.125;295.41;28.967.499.999.999.900;29.121.425;;29.123.999.999.999.900;2.937.555;2.906.825;288.565;2.908.275;28.343.825;288.245
23/06/2005;3.003.325;2.955.875;288.79;2.954.025;289.595;29.058.025;;291.4;2.952.155;2.865.375;2.872.575;2.925.375;28.379.774.999.999.900;288.17
24/06/2005;297.66;29.554.999.999.999.900;285.78;297.585;29.111.749.999.999.900;29.144.525;;29.198.999.999.999.900;295.59;28.780.249.999.999.900;28.805.249.999.999.900;2.926.725;28.505.499.999.999.900;288.505
25/06/2005;296.915;293.025;28.542.499.999.999.900;2.984.525;29.198.749.999.999.900;29.119.775;;292.89;2.956.115;2.895.975;2.893.125;2.923.725;2.855.295;289.08
26/06/2005;2.977.025;2.939.725;286.595;29.811.749.999.999.900;291.72;292.075;292.545;293.39;295.976;291.77;2.889.475;293.205;286.003;28.873.999.999.999.900
27/06/2005;298.695;2.950.025;2.846.675;2.989.675;292.17;2.921.825;2.915.475;293.57;295.885;288.135;287.765;292.79;2.862.125;28.861.249.999.999.900
28/06/2005;3.002.925;2.949.325;283.6;299.045;29.236.249.999.999.900;291.77;2.910.375;293.53;295.293;2.890.675;288.1;292.975;286.536;288.52
29/06/2005;3.001.425;2.955.575;2.869.325;297.095;290.815;29.139.675;2.913.875;293.31;296.097;2.870.775;2.878.525;2.923.125;286.825;28.842.499.999.999.900
30/06/2005;300.7;293.295;282.2;29.854.999.999.999.900;29.173.999.999.999.900;292.414;2.897.575;293.65;2.969.245;2.893.075;2.875.675;2.904.325;28.706.525;288.465
01/07/2005;300.65;2.911.425;2.812.925;295.7;289.76;29.358.275;2.894.775;293.97;295.053;288.735;286.955;28.942.999.999.999.900;28.669.125;2.884.725
02/07/2005;301.57;291.91;283.975;2.933.575;2.877.725;2.938.765;29.186.249.999.999.900;292.76;293.35;2.890.175;2.866.925;2.888.925;285.673;2.883.075
03/07/2005;302.27;2.940.175;2.847.175;293.07;2.879.375;29.386.974.999.999.900;291.09;291.75;29.287.875;2.896.275;287.575;290.84;285.008;2.883.075
04/07/2005;30.267.999.999.999.900;292.23;282.825;2.960.875;289.985;29.379.975;2.901.925;292.26;2.950.255;288.98;288.44;291.69;28.487.175;288.885
05/07/2005;3.016.275;2.919.675;2.814.375;295.31;289.755;29.404.549.999.999.900;2.914.825;293.12;2.938.325;289.755;287.715;2.895.925;28.497.375;288.835
06/07/2005;302.15;292.27;2.835.625;2.935.575;2.880.625;29.431.775;2.935.575;292.51;293.766;286.08;285.745;290.539;28.506.875;288.405
07/07/2005;302.645;293.565;286.085;29.498.999.999.999.900;2.956.025;294.375;296.11;292.65;2.942.385;287.895;2.859.425;2.897.105;285.229;2.881.975
08/07/2005;299.12;2.950.025;2.847.775;2.952.325;2.960.275;29.457.325;29.561.749.999.999.900;292.63;294.442;28.417.749.999.999.900;285.01;2.896.265;28.476.575;288.185
09/07/2005;301.4;295.02;2.857.625;294.39;295.54;294.384;2.974.575;292.4;295.012;284.315;285.09;28.918.325;284.405;28.792.749.999.999.900
10/07/2005;301.56;296.12;28.897.775;2.949.775;295.915;294.336;297.515;292.37;2.955.075;287.595;286.225;28.944.424.999.999.900;2.841.605;2.881.075
11/07/2005;300.94;295.595;286.5;2.955.925;2.964.375;29.442.999.999.999.900;290.875;292.46;2.958.035;2.876.325;287.595;29.118.625;283.989;28.886.249.999.999.900
12/07/2005;3.006.425;294.69;284.645;2.952.525;295.775;294.536;2.923.175;293.01;294.807;287.98;288.08;29.227.075;283.592;2.891.275
13/07/2005;3.049.825;2.949.675;2.869.125;2.959.075;2.960.475;29.485.425;;292.46;294.464;2.885.625;288.895;292.387;28.365.675;289.405
14/07/2005;2.999.975;2.945.475;290.235;295.695;295.7;29.486.749.999.999.900;2.957.525;29.254.999.999.999.900;295.239;29.042.749.999.999.900;289.31;29.309.475;28.353.074.999.999.900;2.894.625
15/07/2005;30.205.499.999.999.900;29.530.499.999.999.900;2.865.925;2.963.425;;29.480.475;29.198.749.999.999.900;293.11;2.961.025;28.867.499.999.999.900;289.465;293.797;28.378.125;289.59
16/07/2005;3.026.425;2.964.225;288.72;2.960.175;2.959.175;29.485.125;29.461.499.999.999.900;29.373.999.999.999.900;2.959.795;290.54;2.889.325;292.235;2.844.915;28.955.499.999.999.900
17/07/2005;2.971.875;296.91;2.891.575;2.974.175;2.970.875;29.498.325;2.939.075;294.15;29.713.312.499.999.900;288.48;288.25;291.89;285.004;2.891.875
18/07/2005;298.075;2.932.225;281.355;297.735;297.595;295.117;2.901.475;294.7;297.929.375;287.47;2.876.525;291.65;285.378;2.889.175
19/07/2005;30.123.999.999.999.900;2.930.375;285.635;2.961.575;296.01;2.952.615;292.275;29.467.999.999.999.900;296.693;292.03;2.886.875;291.165;28.592.775;289.125
20/07/2005;2.995.875;29.536.499.999.999.900;;295.885;295.88;2.955.545;2.938.325;29.467.999.999.999.900;29.779.833.325;2.863.475;287.575;28.917.749.999.999.900;28.593.474.999.999.900;289.0
21/07/2005;297.47;29.605.499.999.999.900;2.877.575;297.16;296.86;29.572.725;293.26;29.542.999.999.999.900;29.887.041.675;2.845.425;285.225;290.12;28.595.775;288.685
22/07/2005;2.990.925;29.611.249.999.999.900;;297.09;296.825;29.589.975;293.495;294.85;29.790.099.999.999.900;2.865.825;285.785;2.909.425;2.856.635;2.883.475
23/07/2005;298.035;297.51;;2.964.225;2.962.125;29.595.624.999.999.900;294.165;294.84;29.986.249.999.999.900;28.579.999.999.999.900;2.851.275;289.475;28.535.375;28.817.999.999.999.900
24/07/2005;29.473.749.999.999.900;2.986.225;28.867.749.999.999.900;297.715;29.742.749.999.999.900;29.582.075;29.348.749.999.999.900;295.27;2.971.805;285.69;2.851.375;2.903.775;28.524.025;288.28
25/07/2005;2.948.375;29.555.249.999.999.900;2.862.825;2.993.775;2.988.875;29.541.425;2.958.175;296.33;298.037.625;290.225;286.795;291.795;2.853.995;288.455
26/07/2005;2.945.925;292.575;2.835.125;29.955.499.999.999.900;298.89;295.671;28.817.749.999.999.900;296.76;29.871.645.825;2.902.875;2.874.525;29.042.749.999.999.900;28.601.325;288.685
27/07/2005;29.679.999.999.999.900;2.887.525;277.605;2.954.775;2.960.125;2.958.865;2.905.175;296.26;2.945.115;289.31;2.871.525;2.927.825;285.828;288.54
28/07/2005;297.035;291.19;;292.035;29.304.999.999.999.900;29.608.075;2.902.875;293.29;2.925.505;293.045;289.17;2.930.575;286.193;2.886.575
29/07/2005;2.995.025;2.926.425;;2.905.275;2.912.825;2.959.905;29.261.749.999.999.900;292.64;292.516;294.145;290.45;292.705;28.677.325;28.948.999.999.999.900
30/07/2005;2.974.625;29.454.999.999.999.900;2.872.825;2.930.775;2.932.125;295.217;294.72;292.83;2.940.905;293.155;2.903.375;290.195;28.730.025;289.76
31/07/2005;295.165;293.665;;293.725;293.895;29.537.525;294.995;293.4;2.946.765;2.885.375;28.848.749.999.999.900;289.265;2.871.085;289.57
01/08/2005;2.944.475;295.155;;294.34;2.945.175;29.523.524.999.999.900;296.455;293.87;295.701;286.765;2.877.325;2.892.625;2.868.335;28.905.249.999.999.900
02/08/2005;294.82;2.965.825;;2.955.175;295.25;2.953.115;298.535;294.51;296.736.875;2.859.525;2.870.925;289.105;28.681.425;2.889.475
03/08/2005;2.927.475;297.455;2.879.075;2.962.825;2.961.025;2.953.635;296.125;294.88;29.792.625;2.893.575;2.871.625;2.888.325;286.745;2.886.725
04/08/2005;294.4;294.845;2.815.075;297.57;2.969.975;29.558.399.999.999.900;2.887.975;294.91;29.871.124.999.999.900;2.869.375;2.868.225;2.887.025;28.528.375;28.867.499.999.999.900
05/08/2005;295.515;2.910.675;;296.635;296.5;2.955.865;289.78;295.32;2.970.085;285.655;2.862.475;28.929.999.999.999.900;28.468.075;2.885.375
06/08/2005;297.2;2.930.425;285.985;2.945.975;2.946.625;295.566;2.929.375;294.63;2.951.265;2.882.575;286.465;289.625;283.628;288.31
07/08/2005;2.973.175;29.411.499.999.999.900;2.862.775;2.939.025;294.06;295.469;294.905;294.56;295.931;2.848.075;28.473.999.999.999.900;28.961.749.999.999.900;28.432.525;2.880.725
08/08/2005;296.505;29.642.499.999.999.900;2.857.175;2.958.425;295.775;2.951.845;;294.94;2.961.355;28.436.499.999.999.900;283.895;290.435;28.438.225;287.95
09/08/2005;2.963.925;2.969.525;289.785;2.961.925;295.885;295.186;294.905;294.82;29.733.124.999.999.900;2.861.325;2.846.525;290.275;283.867;288.04
10/08/2005;294.62;2.942.325;28.561.499.999.999.900;2.971.875;2.969.425;29.533.975;2.938.525;295.07;2.985.675;283.685;2.845.275;291.08;284.1;2.880.175
11/08/2005;293.035;295.4;2.856.375;2.971.825;296.815;29.549.525;290.705;295.28;29.849.225;284.16;2.845.075;2.917.475;28.477.275;287.935
12/08/2005;2.964.575;293.255;28.411.499.999.999.900;2.981.075;;29.575.275;287.345;295.51;298.623.875;287.48;2.855.375;2.909.075;28.531.825;288.065
13/08/2005;2.957.675;291.39;2.813.925;2.973.325;297.545;29.578.875;2.859.225;295.53;29.565.599.999.999.900;286.96;2.859.625;2.900.125;28.537.625;287.88
14/08/2005;2.934.125;2.879.625;281.645;2.957.125;296.21;29.596.625;2.863.375;294.79;294.624;28.611.749.999.999.900;285.435;2.895.625;2.852.325;2.880.225
15/08/2005;291.185;289.77;2.807.175;29.373.999.999.999.900;;29.610.675;288.775;294.61;2.933.155;285.73;2.853.075;289.065;2.851.885;288.235
16/08/2005;2.946.475;291.565;28.373.749.999.999.900;29.361.749.999.999.900;2.940.025;29.621.849.999.999.900;291.795;29.448.999.999.999.900;2.940.365;2.852.075;285.81;28.986.249.999.999.900;28.437.425;288.145
17/08/2005;297.47;293.6;287.945;2.934.725;29.380.499.999.999.900;29.631.325;2.926.375;294.01;2.942.615;2.863.125;286.075;290.62;28.345.775;2.882.575
18/08/2005;295.7;290.94;2.829.625;295.775;;296.058;292.4;294.42;29.530.362.499.999.900;2.867.325;286.525;2.917.475;28.383.475;2.883.775
19/08/2005;2.958.425;293.205;284.25;295.17;2.950.925;295.747;288.65;295.36;2.972.875;288.105;2.877.475;2.902.875;28.465.349.999.999.900;2.888.175
20/08/2005;297.375;2.919.175;2.811.975;2.968.225;296.78;29.600.325;2.857.625;295.96;2.972.875;2.905.075;28.867.999.999.999.900;289.32;28.473.225;289.06
21/08/2005;2.984.475;2.912.625;28.355.249.999.999.900;295.735;;29.638.775;2.890.425;29.592.999.999.999.900;29.637.449.999.999.900;2.895.975;287.825;288.785;28.491.525;288.985
22/08/2005;299.69;2.911.575;28.529.999.999.999.900;295.85;2.960.275;29.656.075;291.58;295.01;296.905;289.39;2.882.675;288.28;28.377.025;2.890.575
23/08/2005;299.42;2.912.025;284.67;2.921.325;2.930.275;29.620.325;294.295;293.81;2.952.885;290.92;288.575;2.901.975;28.288.125;28.892.499.999.999.900
24/08/2005;294.57;2.921.625;283.33;2.910.125;291.815;29.602.124.999.999.900;292.78;292.47;2.934.965;2.877.925;2.871.825;2.879.525;283.17;288.595
25/08/2005;2.949.975;292.975;2.848.175;2.922.925;292.705;2.958.165;2.880.825;292.41;294.577;2.882.025;287.23;2.882.625;2.831.765;288.435
26/08/2005;2.970.775;2.931.725;2.795.575;2.948.575;294.22;295.411;287.045;293.39;2.951.825;2.856.425;2.861.675;2.885.925;2.838.535;2.883.575
27/08/2005;2.978.075;291.195;2.807.175;2.953.175;2.947.725;29.483.825;285.86;293.86;295.276.875;2.865.225;2.853.475;2.889.975;28.423.725;28.811.499.999.999.900
28/08/2005;2.982.725;290.58;2.817.925;292.0;2.923.975;294.992;28.886.775;293.6;2.950.635;285.22;285.665;289.995;2.848.395;2.882.125
29/08/2005;298.735;2.905.325;282.375;2.940.475;29.430.249.999.999.900;29.507.174.999.999.900;2.903.925;294.02;29.442.499.999.999.900;28.680.499.999.999.900;286.59;2.900.625;28.479.049.999.999.900;2.882.875
30/08/2005;2.995.425;2.923.075;2.853.075;29.355.249.999.999.900;29.411.249.999.999.900;295.344;2.932.125;294.07;294.748.125;28.792.999.999.999.900;2.877.925;2.910.175;285.063;288.455
31/08/2005;300.38;29.317.999.999.999.900;280.71;292.2;29.304.999.999.999.900;295.716;289.535;293.29;29.379.020.849.999.900;2.888.525;28.829.999.999.999.900;29.198.999.999.999.900;28.501.825;28.848.749.999.999.900
01/09/2005;299.745;289.815;2.785.725;290.915;29.180.249.999.999.900;295.719;285.96;293.1;294.421.875;289.9;2.890.775;2.914.575;2.850.365;2.889.325
02/09/2005;294.375;289.655;2.818.475;28.964.275;2.911.075;2.953.005;2.878.375;293.13;293.136;29.361.499.999.999.900;28.992.749.999.999.900;2.911.425;28.517.425;2.890.825
03/09/2005;295.845;291.445;2.849.425;28.911.525;2.907.675;29.494.175;2.915.825;292.7;2.932.765;2.895.075;2.889.025;2.917.675;28.577.275;2.890.925
04/09/2005;295.185;293.86;286.53;290.57;2.918.425;29.467.499.999.999.900;292.63;292.26;293.465;2.907.575;2.882.125;2.933.375;285.63;28.899.249.999.999.900
05/09/2005;297.075;294.52;2.862.275;2.918.725;292.81;294.332;294.61;29.229.999.999.999.900;29.369.062.499.999.900;286.88;2.878.175;2.908.575;2.849.915;288.905
06/09/2005;297.165;293.32;2.836.275;291.72;2.929.575;294.054;2.871.275;292.17;29.338.062.499.999.900;2.864.175;28.798.999.999.999.900;2.895.625;28.379.425;28.898.749.999.999.900
07/09/2005;2.976.275;292.895;282.455;293.405;2.943.175;29.395.325;2.865.775;292.27;29.390.875;2.885.975;289.595;2.890.125;284.072;2.890.925
08/09/2005;2.978.425;292.795;2.842.075;2.938.825;294.685;293.813;2.896.475;29.273.999.999.999.900;29.428.687.499.999.900;28.942.749.999.999.900;2.900.275;2.896.475;28.413.525;289.15
09/09/2005;2.940.625;2.935.675;286.4;2.942.525;2.952.625;29.360.375;289.95;293.59;29.496.283.325;289.875;2.904.525;2.905.425;2.847.625;2.892.125
10/09/2005;293.165;2.938.325;2.852.925;294.335;295.57;29.333.075;293.95;294.09;2.950.725;292.205;290.67;29.074.249.999.999.900;28.486.825;289.435
11/09/2005;294.76;2.941.425;282.37;29.542.499.999.999.900;2.965.125;29.329.825;2.877.775;293.95;294.826.875;2.916.325;2.904.775;2.895.275;28.493.575;2.895.425
12/09/2005;2.955.925;294.455;284.505;2.947.075;296.335;293.191;284.065;293.53;294.535;2.907.975;289.315;2.883.075;28.492.175;2.893.775
13/09/2005;293.755;292.935;27.861.499.999.999.900;2.942.025;2.961.525;293.296;28.836.749.999.999.900;29.348.999.999.999.900;2.947.825;2.892.825;2.880.575;289.77;28.431.199.999.999.900;289.195
14/09/2005;2.940.125;2.892.875;276.215;29.624.249.999.999.900;297.6;29.362.125;285.1;293.61;293.611.875;2.847.275;286.61;289.71;28.429.475;288.77
15/09/2005;2.927.825;2.904.125;2.768.825;2.924.175;;293.976;2.867.925;293.62;29.199.025;28.842.749.999.999.900;287.87;289.485;28.377.374.999.999.900;288.61
16/09/2005;294.585;2.906.925;278.69;291.79;;29.435.475;288.33;293.25;290.619;289.48;288.345;28.911.249.999.999.900;28.375.875;2.884.225
17/09/2005;296.625;290.91;280.645;2.875.225;;294.367;2.875.625;291.91;29.012.449.999.999.900;28.173.749.999.999.900;2.845.325;2.895.225;28.410.074.999.999.900;2.879.525
18/09/2005;2.965.175;289.85;;28.941.025;;29.438.199.999.999.900;2.855.025;291.54;291.16;2.798.725;2.833.225;2.867.875;283.957;2.875.075
19/09/2005;2.968.375;2.910.725;27.799.249.999.999.900;2.920.225;;29.431.025;2.836.825;291.6;2.936.925;2.795.875;283.255;28.705.499.999.999.900;283.976;2.871.375
20/09/2005;2.934.775;29.011.499.999.999.900;278.01;293.355;2.943.825;29.442.325;284.655;29.223.999.999.999.900;29.385.875;279.46;2.836.725;287.388;28.375.625;286.96
21/09/2005;2.964.975;290.225;2.814.175;291.64;;294.59;288.33;292.19;29.322.583.325;2.806.325;2.840.425;2.876.545;2.828.345;2.868.325
22/09/2005;296.81;2.912.175;2.812.975;2.925.425;293.65;294.511;28.424.249.999.999.900;292.26;2.949.695;280.44;2.844.325;28.675.125;2.826.035;2.867.575
23/09/2005;2.961.725;287.945;2.788.175;294.105;295.12;2.943.645;286.395;294.02;295.094.375;2.810.825;284.895;2.871.075;28.227.374.999.999.900;286.83
24/09/2005;2.965.775;290.225;280.14;291.395;292.25;2.944.255;2.837.975;292.96;29.344.125;283.39;286.065;2.876.425;28.224.225;286.85
25/09/2005;2.968.775;2.899.425;278.845;294.45;2.948.925;294.33;2.847.525;294.06;2.952.315;283.515;286.565;2.884.025;28.271.599.999.999.900;2.870.875
26/09/2005;2.968.925;2.884.625;2.775.075;2.933.725;293.915;2.943.815;282.335;292.94;2.941.375;2.847.875;2.870.475;28.724.249.999.999.900;282.48;287.19
27/09/2005;2.978.775;287.73;27.898.749.999.999.900;2.902.725;291.745;294.38;2.835.625;292.37;291.183;2.847.025;2.859.325;28.723.749.999.999.900;2.825.215;287.11
28/09/2005;298.16;288.795;277.47;28.907.525;290.685;294.182;279.97;291.23;290.62;2.864.975;2.863.175;288.29;2.828.715;287.085
29/09/2005;29.792.749.999.999.900;283.9;276.095;28.617.999.999.999.900;2.881.575;29.364.775;2.814.075;290.73;288.475;284.095;2.846.375;287.73;282.926;286.98
30/09/2005;295.6;286.42;2.790.475;28.324.249.999.999.900;285.735;29.350.125;2.864.425;287.69;28.656.583.325;281.81;28.361.249.999.999.900;287.015;28.287.825;286.685
01/10/2005;294.4;2.875.125;2.809.125;28.555.249.999.999.900;2.874.125;29.282.174.999.999.900;2.883.225;288.08;28.861.166.675;2.834.125;283.94;2.879.975;281.47;2.865.225
02/10/2005;2.980.275;28.948.524.999.999.900;284.335;2.879.175;28.924.249.999.999.900;29.284.324.999.999.900;288.645;289.88;2.905.275;2.840.725;28.398.999.999.999.900;287.325;28.048.274.999.999.900;2.866.475
03/10/2005;296.565;2.898.725;2.786.325;292.995;293.375;29.268.175;281.585;291.75;293.57;282.83;283.535;2.858.825;28.145.075;286.31
04/10/2005;2.960.275;289.188;277.155;293.52;2.941.075;29.258.425;279.505;292.62;294.1;284.9;284.08;285.315;2.810.755;286.03
05/10/2005;2.956.275;286.94;2.739.375;293.07;294.135;29.276.399.999.999.900;278.015;292.69;29.405.166.675;2.844.775;285.145;2.865.625;28.074.525;2.859.575
06/10/2005;296.915;283.135;2.744.425;2.917.275;2.933.425;293.177;2.731.225;292.41;2.902.775;2.852.175;2.849.125;28.786.499.999.999.900;28.100.175;2.862.025
07/10/2005;293.94;282.385;273.63;2.832.625;288.465;293.619;2.763.175;289.39;2.858.925;283.715;285.065;286.545;281.111;286.285
08/10/2005;295.215;2.824.225;2.754.525;282.875;2.870.575;29.420.275;276.51;287.62;28.528.375;2.813.825;28.474.249.999.999.900;286.695;28.105.775;2.862.875
09/10/2005;294.65;2.831.325;277.64;281.315;286.065;29.430.875;281.435;286.47;28.504.875;281.895;285.37;287.625;28.094.674.999.999.900;28.624.249.999.999.900
10/10/2005;290.75;2.826.575;275.64;2.838.275;287.505;293.197;276.575;287.22;2.852.758.335;282.145;284.81;28.723.749.999.999.900;2.810.515;2.862.325
11/10/2005;28.854.025;2.831.425;27.567.499.999.999.900;286.695;288.935;29.262.699.999.999.900;277.85;287.6;28.646.250.024.999.900;280.905;2.842.875;2.890.025;2.810.515;2.863.775
12/10/2005;28.851.775;285.19;2.779.675;2.854.575;288.085;2.925.495;2.814.575;288.04;28.735.458.325;2.793.725;2.839.725;2.892.875;28.093.925;286.37
13/10/2005;2.903.325;285.545;2.733.525;2.856.975;2.883.525;292.146;2.759.675;289.12;28.859.833.325;27.861.249.999.999.900;2.833.725;289.48;2.810.515;2.863.825
14/10/2005;290.205;284.185;2.764.375;2.852.025;2.878.725;291.949;280.92;289.47;28.746.833.325;278.375;2.832.825;2.890.275;2.810.515;28.636.249.999.999.900
15/10/2005;286.23;282.775;2.769.375;285.78;2.880.875;2.917.565;279.25;288.75;28.859.166.675;278.11;2.837.075;2.888.825;28.093.925;286.435
16/10/2005;2.869.675;28.323.999.999.999.900;;;;2.914.115;;287.13;286.515;2.788.075;283.1;2.876.525;2.810.515;28.623.749.999.999.900
17/10/2005;2.869.325;2.860.075;278.935;2.826.225;2.858.575;29.047.549.999.999.900;281.48;28.654.999.999.999.900;28.721.083.324.999.900;2.803.525;281.375;2.870.075;2.810.515;285.875
18/10/2005;2.897.275;283.66;2.771.875;28.605.499.999.999.900;288.105;2.898.045;28.317.999.999.999.900;287.7;28.923.749.999.999.900;278.125;2.812.575;28.811.249.999.999.900;28.093.925;2.854.325
19/10/2005;288.09;2.839.775;2.756.075;2.859.075;287.1;29.038.174.999.999.900;2.765.175;287.54;28.930.249.999.999.900;2.746.325;27.886.749.999.999.900;287.92;2.810.515;2.851.525
20/10/2005;287.01;282.065;2.775.625;285.4;2.868.325;290.898;2.807.925;288.0;288.81;278.965;280.59;28.755.499.999.999.900;2.810.515;2.849.825
21/10/2005;288.655;2.833.125;276.42;2.832.325;284.36;291.367;2.789.775;286.14;2.879.716.665;283.735;2.826.075;288.34;280.797;285.165
22/10/2005;28.885.525;280.14;273.565;28.205.499.999.999.900;283.87;2.907.995;274.155;285.15;2.862.825;2.842.725;283.79;287.535;28.086.625;2.851.975
23/10/2005;288.53;2.798.425;2.706.625;281.0;2.832.975;29.056.224.999.999.900;271.15;285.16;28.463.166.675;2.851.925;284.45;287.98;2.808.635;28.530.499.999.999.900
24/10/2005;28.884.525;279.08;27.067.499.999.999.900;28.061.249.999.999.900;28.223.749.999.999.900;28.949.525;272.265;283.14;2.837.633.335;281.685;2.830.725;2.867.275;28.059.125;285.255
25/10/2005;2.876.525;27.830.499.999.999.900;273.915;2.806.875;281.995;28.857.275;2.750.725;283.1;28.335.833.325;2.836.925;2.833.225;2.873.525;280.774;2.852.125
26/10/2005;287.955;279.28;273.44;278.915;281.085;28.878.025;276.64;282.85;28.219.916.675;2.837.525;28.392.749.999.999.900;287.88;28.080.075;285.465
27/10/2005;28.717.999.999.999.900;2.790.825;2.741.025;2.813.925;282.835;288.369;2.774.325;283.21;2.833.133.335;2.804.475;283.98;28.798.999.999.999.900;28.059.125;28.554.999.999.999.900
28/10/2005;28.761.749.999.999.900;2.802.875;279.29;278.145;;287.797;2.770.575;282.67;28.264.999.975;280.91;284.71;28.892.749.999.999.900;280.774;2.856.725
29/10/2005;2.871.875;2.820.175;277.9;278.33;;28.738.025;278.355;282.21;28.311.666.649.999.900;279.695;284.605;2.893.075;28.080.075;285.86
30/10/2005;287.45;2.831.625;275.725;278.46;;2.869.365;276.78;28.248.999.999.999.900;28.402.249.974.999.900;2.793.975;28.386.749.999.999.900;2.888.875;28.059.125;286.06
31/10/2005;286.64;28.136.749.999.999.900;2.716.475;283.795;;28.684.075;2.751.825;283.62;28.489.125;278.575;2.836.375;2.895.375;280.774;286.105
01/11/2005;2.855.175;2.800.625;275.63;2.835.975;;2.869.595;278.735;285.02;28.424.666.675;280.125;2.831.925;287.435;28.080.075;2.861.875
02/11/2005;2.868.475;27.936.499.999.999.900;280.53;27.973.999.999.999.900;2.819.325;28.706.449.999.999.900;279.82;283.65;2.839.491.665;2.781.875;282.39;2.877.025;28.059.125;286.035
03/11/2005;2.872.725;280.45;2.739.025;2.822.275;2.833.225;28.714.825;276.25;284.16;28.523.625;282.63;2.832.225;2.875.425;28.059.125;285.715
04/11/2005;287.14;278.47;2.702.125;283.83;284.38;28.690.125;275.535;285.17;28.630.249.999.999.900;28.367.749.999.999.900;28.374.249.999.999.900;2.874.475;280.569;2.859.125
05/11/2005;2.873.975;278.945;2.728.475;2.868.525;2.867.525;28.720.874.999.999.900;2.743.875;286.33;28.696.375;283.95;2.838.125;2.855.975;28.059.324.999.999.900;285.88
06/11/2005;286.38;278.275;2.697.625;2.871.225;287.6;2.875.705;2.741.325;287.51;28.751.583.325;2.772.925;282.185;28.442.749.999.999.900;280.956;285.34
07/11/2005;2.867.825;2.786.375;272.79;2.804.675;;288.066;273.83;28.567.999.999.999.900;2.853.125;27.486.749.999.999.900;281.025;2.838.275;28.085.675;2.851.025
08/11/2005;2.869.775;27.942.999.999.999.900;27.523.749.999.999.900;2.842.275;;28.801.275;274.98;285.62;28.721.666.675;2.781.325;281.1;2.842.225;28.050.525;285.1
09/11/2005;288.0;2.801.575;269.91;2.889.825;;287.984;;287.28;288.97;2.756.325;2.809.475;28.530.499.999.999.900;2.802.115;285.01
10/11/2005;2.873.425;2.777.575;2.746.675;278.825;;2.884.735;2.746.975;285.67;285.717;276.16;280.98;283.245;280.07;2.847.825
11/11/2005;290.31;278.705;;2.774.625;;28.812.775;2.769.825;283.37;2.840.585;279.625;2.810.475;282.02;280.569;284.41
12/11/2005;285.36;279.815;;2.788.925;;2.871.195;278.485;283.32;2.852.115;278.73;2.810.475;281.6;280.071;28.467.999.999.999.900
13/11/2005;283.62;27.992.499.999.999.900;;2.829.625;;286.63;27.579.999.999.999.900;284.7;286.567.875;274.76;2.799.525;2.827.125;280.071;2.846.025
14/11/2005;283.355;277.84;2.726.075;2.777.025;;286.806;275.08;284.35;284.376;275.25;280.355;284.22;280.261;284.25
15/11/2005;2.850.325;279.095;272.225;2.808.375;;2.875.785;272.66;284.07;2.833.835;2.768.175;27.986.499.999.999.900;28.349.249.999.999.900;28.013.925;2.836.475
16/11/2005;2.845.075;2.752.925;271.915;278.235;;288.236;2.661.675;285.64;28.156.545;2.773.225;2.788.575;282.82;280.071;283.625
17/11/2005;282.53;273.435;2.729.125;273.51;;288.677;2.702.875;281.02;27.897.065;27.473.749.999.999.900;278.01;283.95;280.261;2.833.825
18/11/2005;2.829.775;2.740.175;27.292.499.999.999.900;2.739.225;;287.344;272.005;279.09;2.789.765;275.395;277.89;282.28;28.013.925;282.885
