latitude,longitude,pass_type,brightness_temp_19v
35.25,-12.75,ascending,192.71999
35.25,-12.5,ascending,192.52
35.25,-12.25,ascending,192.41
35.25,-12.0,ascending,192.45499
35.25,-11.75,ascending,192.54498
35.25,-11.5,ascending,192.62
35.25,-11.25,ascending,192.84332
35.25,-11.0,ascending,193.17
35.25,-10.75,ascending,193.80333
35.25,-10.5,ascending,194.325
35.25,-10.25,ascending,194.81665
35.25,-10.0,ascending,195.135
35.25,-9.75,ascending,195.12666
35.25,-9.5,ascending,194.96
35.25,-9.25,ascending,194.85999
35.25,-9.0,ascending,194.65999
35.25,-8.75,ascending,194.36499
35.25,-8.5,ascending,194.17499
35.25,-8.25,ascending,193.86333
35.25,-8.0,ascending,193.41998
35.25,-7.75,ascending,193.05333
35.25,-7.5,ascending,193.06
35.25,-7.25,ascending,192.83667
35.25,-7.0,ascending,192.315
35.25,-6.75,ascending,191.63
35.25,-6.5,ascending,192.62
35.25,-6.25,ascending,207.92334
35.25,-6.0,ascending,243.26999
35.25,-5.75,ascending,276.0533
35.25,-5.5,ascending,285.97998
35.25,-5.25,ascending,269.51666
35.25,-5.0,ascending,235.79668
35.25,-4.75,ascending,217.195
35.25,-4.5,ascending,211.13332
35.25,-4.25,ascending,208.08499
35.25,-4.0,ascending,208.10333
35.25,-3.75,ascending,212.76
35.25,-3.5,ascending,207.63998
35.25,-3.25,ascending,211.65
35.25,-3.0,ascending,212.96999
35.25,-2.75,ascending,205.39499
35.25,-2.5,ascending,202.85999
35.25,-2.25,ascending,202.38335
35.25,-2.0,ascending,203.25
35.25,-1.75,ascending,209.56999
35.25,-1.5,ascending,224.44666
35.25,-1.25,ascending,249.90332
35.25,-1.0,ascending,277.0925
35.25,-0.75,ascending,290.1175
35.25,-0.5,ascending,296.43
35.25,-0.25,ascending,299.35748
35.25,0.0,ascending,302.68
35.25,0.25,ascending,303.79666
35.25,0.5,ascending,304.49
35.25,0.75,ascending,305.03665
35.25,1.0,ascending,305.43167
35.25,1.25,ascending,305.5457
35.25,1.5,ascending,304.82834
35.25,1.75,ascending,303.84164
35.25,8.5,ascending,301.19333
35.25,8.75,ascending,301.52124
35.25,9.0,ascending,302.09167
35.25,9.25,ascending,302.83798
35.25,9.5,ascending,303.365
35.25,9.75,ascending,303.952
35.25,10.0,ascending,304.4975
35.25,10.25,ascending,304.5075
35.25,10.5,ascending,302.71335
35.25,10.75,ascending,295.7825
35.25,11.0,ascending,276.68
35.25,11.25,ascending,249.53333
35.25,11.5,ascending,223.08998
35.25,11.75,ascending,208.14333
35.25,12.0,ascending,203.55249
35.25,12.25,ascending,203.04999
35.25,12.5,ascending,203.12999
35.25,12.75,ascending,203.255
35.25,13.0,ascending,202.46
35.25,13.25,ascending,200.94331
35.25,13.5,ascending,199.775
35.25,13.75,ascending,198.46667
35.25,14.0,ascending,197.35667
35.25,14.25,ascending,196.87
35.25,14.5,ascending,197.18
35.25,14.75,ascending,197.89
35.25,15.0,ascending,197.785
35.25,15.25,ascending,197.04
35.25,15.5,ascending,196.58499
35.25,15.75,ascending,196.22667
35.25,16.0,ascending,196.10999
35.25,16.25,ascending,196.42332
35.25,16.5,ascending,197.07498
35.25,16.75,ascending,197.86665
35.25,17.0,ascending,198.48
35.25,17.25,ascending,198.77
35.25,17.5,ascending,199.08499
35.25,17.75,ascending,199.30334
35.25,18.0,ascending,199.5
35.25,18.25,ascending,199.57666
35.25,18.5,ascending,199.625
35.25,18.75,ascending,199.61499
35.25,19.0,ascending,199.31
35.25,19.25,ascending,199.07332
35.25,19.5,ascending,198.61499
35.25,19.75,ascending,198.32
35.25,20.0,ascending,198.33499
35.25,20.25,ascending,198.245
35.25,20.5,ascending,197.98999
35.25,20.75,ascending,197.57999
35.25,21.0,ascending,197.225
35.25,21.25,ascending,197.19666
35.25,21.5,ascending,197.18
35.25,21.75,ascending,197.045
35.25,22.0,ascending,196.79333
35.25,22.25,ascending,196.60667
35.25,22.5,ascending,196.44
35.25,22.75,ascending,196.31999
35.25,23.0,ascending,196.22333
35.25,23.25,ascending,198.64
35.25,23.5,ascending,213.065
35.25,23.75,ascending,231.58333
35.25,24.0,ascending,233.4825
35.25,24.25,ascending,226.13249
35.25,24.5,ascending,225.17665
35.25,24.75,ascending,229.04
35.25,25.0,ascending,226.25665
35.25,25.25,ascending,222.01999
35.25,25.5,ascending,215.655
35.25,25.75,ascending,207.98398
35.25,26.0,ascending,203.45833
35.25,26.25,ascending,198.7475
35.25,26.5,ascending,195.644
35.25,33.25,ascending,258.05402
35.25,33.5,ascending,254.96715
35.25,33.75,ascending,257.138
35.25,34.0,ascending,240.324
35.25,34.25,ascending,229.4
35.25,34.5,ascending,215.828
35.25,34.75,ascending,206.5425
35.25,35.0,ascending,202.6225
35.25,35.25,ascending,201.40001
35.25,35.5,ascending,204.73999
35.25,35.75,ascending,215.02667
35.25,36.0,ascending,242.63249
35.25,36.25,ascending,274.97665
35.25,36.5,ascending,293.50333
35.25,36.75,ascending,302.43665
35.25,37.0,ascending,306.32333
35.25,37.25,ascending,306.99
35.25,37.5,ascending,307.33
35.25,37.75,ascending,308.41498
35.25,38.0,ascending,308.60498
35.5,-13.0,ascending,192.51399
35.5,-12.75,ascending,192.39374
35.5,-12.5,ascending,192.25375
35.5,-12.25,ascending,192.23999
35.5,-12.0,ascending,192.295
35.5,-11.75,ascending,192.4175
35.5,-11.5,ascending,192.61888
35.5,-11.25,ascending,192.94142
35.5,-11.0,ascending,193.42499
35.5,-10.75,ascending,193.92
35.5,-10.5,ascending,194.52124
35.5,-10.25,ascending,195.00749
35.5,-10.0,ascending,195.26874
35.5,-9.75,ascending,195.25
35.5,-9.5,ascending,195.10857
35.5,-9.25,ascending,194.98286
35.5,-9.0,ascending,194.77284
35.5,-8.75,ascending,194.46715
35.5,-8.5,ascending,194.19714
35.5,-8.25,ascending,193.97667
35.5,-8.0,ascending,193.675
35.5,-7.75,ascending,193.57286
35.5,-7.5,ascending,193.40125
35.5,-7.25,ascending,193.31334
35.5,-7.0,ascending,192.47375
35.5,-6.75,ascending,191.88857
35.5,-6.5,ascending,192.69331
35.5,-6.25,ascending,202.30165
35.5,-6.0,ascending,230.43109
35.5,-5.75,ascending,262.65714
35.5,-5.5,ascending,272.09375
35.5,-5.25,ascending,248.1614
35.5,-5.0,ascending,220.48375
35.5,-4.75,ascending,203.45714
35.5,-4.5,ascending,200.345
35.5,-4.25,ascending,198.55713
35.5,-4.0,ascending,197.4857
35.5,-3.75,ascending,200.41875
35.5,-3.5,ascending,197.95624
35.5,-3.25,ascending,199.15625
35.5,-3.0,ascending,200.5675
35.5,-2.75,ascending,199.5575
35.5,-2.5,ascending,197.23666
35.5,-2.25,ascending,197.72571
35.5,-2.0,ascending,198.09111
35.5,-1.75,ascending,200.30554
35.5,-1.5,ascending,207.88222
35.5,-1.25,ascending,228.022
35.5,-1.0,ascending,250.95
35.5,-0.75,ascending,269.63443
35.5,-0.5,ascending,275.34363
35.5,-0.25,ascending,286.6309
35.5,0.0,ascending,296.27667
35.5,0.25,ascending,302.74332
35.5,0.5,ascending,304.62283
35.5,0.75,ascending,305.285
35.5,1.0,ascending,305.46732
35.5,1.25,ascending,305.6242
35.5,1.5,ascending,305.3772
35.5,1.75,ascending,304.75537
35.5,8.5,ascending,301.32733
35.5,8.75,ascending,301.6078
35.5,9.0,ascending,301.90686
35.5,9.25,ascending,302.32538
35.5,9.5,ascending,302.85306
35.5,9.75,ascending,303.53082
35.5,10.0,ascending,304.19666
35.5,10.25,ascending,304.067
35.5,10.5,ascending,301.72363
35.5,10.75,ascending,292.7589
35.5,11.0,ascending,270.5718
35.5,11.25,ascending,236.80444
35.5,11.5,ascending,214.31999
35.5,11.75,ascending,204.95
35.5,12.0,ascending,203.31888
35.5,12.25,ascending,203.20999
35.5,12.5,ascending,203.50665
35.5,12.75,ascending,203.53333
35.5,13.0,ascending,202.91713
35.5,13.25,ascending,201.84375
35.5,13.5,ascending,200.47285
35.5,13.75,ascending,199.16374
35.5,14.0,ascending,198.03499
35.5,14.25,ascending,197.57332
35.5,14.5,ascending,199.33714
35.5,14.75,ascending,199.93999
35.5,15.0,ascending,198.37143
35.5,15.25,ascending,196.99857
35.5,15.5,ascending,196.48125
35.5,15.75,ascending,196.17833
35.5,16.0,ascending,196.18375
35.5,16.25,ascending,196.69334
35.5,16.5,ascending,197.30833
35.5,16.75,ascending,197.97285
35.5,17.0,ascending,198.42285
35.5,17.25,ascending,198.59332
35.5,17.5,ascending,198.985
35.5,17.75,ascending,199.31
35.5,18.0,ascending,199.52124
35.5,18.25,ascending,199.61287
35.5,18.5,ascending,199.68857
35.5,18.75,ascending,199.66167
35.5,19.0,ascending,199.47624
35.5,19.25,ascending,199.21428
35.5,19.5,ascending,198.73375
35.5,19.75,ascending,198.36714
35.5,20.0,ascending,198.4225
35.5,20.25,ascending,198.40332
35.5,20.5,ascending,198.15625
35.5,20.75,ascending,197.75375
35.5,21.0,ascending,197.31125
35.5,21.25,ascending,197.1857
35.5,21.5,ascending,197.2225
35.5,21.75,ascending,197.19125
35.5,22.0,ascending,196.9825
35.5,22.25,ascending,196.85143
35.5,22.5,ascending,196.72499
35.5,22.75,ascending,196.99333
35.5,23.0,ascending,196.69777
35.5,23.25,ascending,198.12334
35.5,23.5,ascending,205.64874
35.5,23.75,ascending,218.67332
35.5,24.0,ascending,219.97
35.5,24.25,ascending,215.15445
35.5,24.5,ascending,209.86333
35.5,24.75,ascending,208.50916
35.5,25.0,ascending,207.38153
35.5,25.25,ascending,204.84308
35.5,25.5,ascending,201.20375
35.5,25.75,ascending,197.935
35.5,26.0,ascending,195.03864
35.5,26.25,ascending,193.59209
35.5,26.5,ascending,192.743
35.5,33.25,ascending,226.5925
35.5,33.5,ascending,221.625
35.5,33.75,ascending,226.36812
35.5,34.0,ascending,219.99466
35.5,34.25,ascending,218.11847
35.5,34.5,ascending,211.23582
35.5,34.75,ascending,206.07817
35.5,35.0,ascending,202.37999
35.5,35.25,ascending,201.15
35.5,35.5,ascending,204.81299
35.5,35.75,ascending,219.16444
35.5,36.0,ascending,245.221
35.5,36.25,ascending,274.77
35.5,36.5,ascending,293.77112
35.5,36.75,ascending,302.40875
35.5,37.0,ascending,306.48373
35.5,37.25,ascending,307.8
35.5,37.5,ascending,308.58
35.5,37.75,ascending,309.5175
35.5,38.0,ascending,309.392
35.75,-13.0,ascending,191.85999
35.75,-12.75,ascending,191.87888
35.75,-12.5,ascending,191.9075
35.75,-12.25,ascending,192.05124
35.75,-12.0,ascending,192.22285
35.75,-11.75,ascending,192.4
35.75,-11.5,ascending,192.62999
35.75,-11.25,ascending,193.07999
35.75,-11.0,ascending,193.6175
35.75,-10.75,ascending,194.23286
35.75,-10.5,ascending,194.83333
35.75,-10.25,ascending,195.185
35.75,-10.0,ascending,195.39
35.75,-9.75,ascending,195.37999
35.75,-9.5,ascending,195.23625
35.75,-9.25,ascending,195.045
35.75,-9.0,ascending,194.81857
35.75,-8.75,ascending,194.52832
35.75,-8.5,ascending,194.43143
35.75,-8.25,ascending,194.44429
35.75,-8.0,ascending,194.45285
35.75,-7.75,ascending,194.286
35.75,-7.5,ascending,194.315
35.75,-7.25,ascending,193.78833
35.75,-7.0,ascending,193.09125
35.75,-6.75,ascending,192.44199
35.75,-6.5,ascending,192.95999
35.75,-6.25,ascending,198.44499
35.75,-6.0,ascending,220.83
35.75,-5.75,ascending,248.59714
35.75,-5.5,ascending,256.35
35.75,-5.25,ascending,234.13799
35.75,-5.0,ascending,207.055
35.75,-4.75,ascending,197.77856
35.75,-4.5,ascending,195.42778
35.75,-4.25,ascending,194.15572
35.75,-4.0,ascending,193.54832
35.75,-3.75,ascending,193.43875
35.75,-3.5,ascending,193.285
35.75,-3.25,ascending,193.32666
35.75,-3.0,ascending,193.96124
35.75,-2.75,ascending,194.355
35.75,-2.5,ascending,195.16374
35.75,-2.25,ascending,196.14624
35.75,-2.0,ascending,196.8189
35.75,-1.75,ascending,197.4675
35.75,-1.5,ascending,198.60443
35.75,-1.25,ascending,203.94444
35.75,-1.0,ascending,215.873
35.75,-0.75,ascending,225.92363
35.75,-0.5,ascending,235.14
35.75,-0.25,ascending,248.74454
35.75,0.0,ascending,269.49637
35.75,0.25,ascending,291.24
35.75,0.5,ascending,301.14285
35.75,0.75,ascending,304.47415
35.75,1.0,ascending,304.60056
35.75,1.25,ascending,304.31833
35.75,1.5,ascending,303.76193
35.75,1.75,ascending,303.325
35.75,8.25,ascending,301.71
35.75,8.5,ascending,301.61905
35.75,8.75,ascending,301.7831
35.75,9.0,ascending,301.86932
35.75,9.25,ascending,301.97
35.75,9.5,ascending,302.36212
35.75,9.75,ascending,302.94455
35.75,10.0,ascending,303.66498
35.75,10.25,ascending,302.97363
35.75,10.5,ascending,295.59637
35.75,10.75,ascending,275.06888
35.75,11.0,ascending,244.74889
35.75,11.25,ascending,219.01666
35.75,11.5,ascending,206.73666
35.75,11.75,ascending,203.89
35.75,12.0,ascending,203.44624
35.75,12.25,ascending,203.33427
35.75,12.5,ascending,203.46124
35.75,12.75,ascending,203.56375
35.75,13.0,ascending,203.38249
35.75,13.25,ascending,202.66428
35.75,13.5,ascending,201.46625
35.75,13.75,ascending,200.09999
35.75,14.0,ascending,199.3157
35.75,14.25,ascending,200.7175
35.75,14.5,ascending,204.10571
35.75,14.75,ascending,202.52
35.75,15.0,ascending,198.12572
35.75,15.25,ascending,196.8257
35.75,15.5,ascending,196.49857
35.75,15.75,ascending,196.21715
35.75,16.0,ascending,196.40332
35.75,16.25,ascending,196.9725
35.75,16.5,ascending,197.78
35.75,16.75,ascending,198.305
35.75,17.0,ascending,198.41286
35.75,17.25,ascending,198.51
35.75,17.5,ascending,198.90332
35.75,17.75,ascending,199.27
35.75,18.0,ascending,199.50749
35.75,18.25,ascending,199.69331
35.75,18.5,ascending,199.8
35.75,18.75,ascending,199.81
35.75,19.0,ascending,199.61874
35.75,19.25,ascending,199.36499
35.75,19.5,ascending,198.93143
35.75,19.75,ascending,198.52875
35.75,20.0,ascending,198.53572
35.75,20.25,ascending,198.50334
35.75,20.5,ascending,198.20749
35.75,20.75,ascending,197.90285
35.75,21.0,ascending,197.52498
35.75,21.25,ascending,197.32666
35.75,21.5,ascending,197.44571
35.75,21.75,ascending,197.59125
35.75,22.0,ascending,197.55856
35.75,22.25,ascending,197.73
35.75,22.5,ascending,197.96332
35.75,22.75,ascending,199.64125
35.75,23.0,ascending,198.99889
35.75,23.25,ascending,197.1225
35.75,23.5,ascending,197.978
35.75,23.75,ascending,200.58453
35.75,24.0,ascending,202.537
35.75,24.25,ascending,199.9627
35.75,24.5,ascending,197.00546
35.75,24.75,ascending,195.92
35.75,25.0,ascending,195.26582
35.75,25.25,ascending,194.43922
35.75,25.5,ascending,193.27933
35.75,25.75,ascending,192.34937
35.75,26.0,ascending,191.72499
35.75,26.25,ascending,191.68964
35.75,26.5,ascending,191.685
35.75,33.0,ascending,213.46999
35.75,33.25,ascending,209.13315
35.75,33.5,ascending,204.54938
35.75,33.75,ascending,203.81786
35.75,34.0,ascending,204.395
35.75,34.25,ascending,205.38332
35.75,34.5,ascending,203.84416
35.75,34.75,ascending,201.87453
35.75,35.0,ascending,200.25182
35.75,35.25,ascending,200.72
35.75,35.5,ascending,205.904
35.75,35.75,ascending,221.38889
35.75,36.0,ascending,246.37444
35.75,36.25,ascending,273.02124
35.75,36.5,ascending,292.56775
35.75,36.75,ascending,302.04572
35.75,37.0,ascending,305.66748
35.75,37.25,ascending,307.31
35.75,37.5,ascending,307.83282
35.75,37.75,ascending,306.75143
35.75,38.0,ascending,304.85748
36.0,-13.0,ascending,191.76
36.0,-12.75,ascending,191.76285
36.0,-12.5,ascending,191.96777
36.0,-12.25,ascending,192.25624
36.0,-12.0,ascending,192.45332
36.0,-11.75,ascending,192.62715
36.0,-11.5,ascending,192.89874
36.0,-11.25,ascending,193.41875
36.0,-11.0,ascending,193.92168
36.0,-10.75,ascending,194.54
36.0,-10.5,ascending,195.06
36.0,-10.25,ascending,195.30429
36.0,-10.0,ascending,195.4
36.0,-9.75,ascending,195.36665
36.0,-9.5,ascending,195.20857
36.0,-9.25,ascending,195.06285
36.0,-9.0,ascending,194.87428
36.0,-8.75,ascending,194.72125
36.0,-8.5,ascending,194.855
36.0,-8.25,ascending,195.0
36.0,-8.0,ascending,195.22856
