latitude,longitude,pass_type,brightness_temp_19v
35.25,-13.0,descending,188.87999
35.25,-12.75,descending,188.02249
35.25,-12.5,descending,187.38335
35.25,-12.25,descending,187.3525
35.25,-12.0,descending,187.48499
35.25,-11.75,descending,187.5175
35.25,-11.5,descending,187.44499
35.25,-11.25,descending,187.10599
35.25,-11.0,descending,186.85999
35.25,-10.75,descending,187.02832
35.25,-10.5,descending,187.575
35.25,-10.25,descending,188.02667
35.25,-10.0,descending,188.15999
35.25,-3.25,descending,226.45999
35.25,-3.0,descending,226.8257
35.25,-2.75,descending,223.13832
35.25,-2.5,descending,218.62
35.25,-2.25,descending,216.55249
35.25,-2.0,descending,216.61198
35.25,-1.75,descending,226.91333
35.25,-1.5,descending,240.135
35.25,-1.25,descending,255.98665
35.25,-1.0,descending,266.27332
35.25,-0.75,descending,270.50333
35.25,-0.5,descending,272.6875
35.25,-0.25,descending,274.04498
35.25,0.0,descending,274.19998
35.25,0.25,descending,273.94998
35.25,0.5,descending,272.94998
35.25,0.75,descending,272.03333
35.25,1.0,descending,271.57666
35.25,1.25,descending,271.07
35.25,1.5,descending,270.31
35.25,1.75,descending,270.09335
35.25,2.0,descending,270.38333
35.25,2.25,descending,271.21664
35.25,2.5,descending,272.13998
35.25,2.75,descending,272.27332
35.25,3.0,descending,272.00333
35.25,3.25,descending,270.95502
35.25,3.5,descending,268.08002
35.25,3.75,descending,268.595
35.25,4.0,descending,269.32666
35.25,4.25,descending,269.03
35.25,4.5,descending,267.05
35.25,4.75,descending,265.255
35.25,5.0,descending,267.04333
35.25,5.25,descending,268.85498
35.25,5.5,descending,268.28998
35.25,5.75,descending,267.70502
35.25,6.0,descending,268.115
35.25,6.25,descending,267.89
35.25,6.5,descending,268.33334
35.25,6.75,descending,268.0
35.25,7.0,descending,266.1733
35.25,7.25,descending,265.59998
35.25,7.5,descending,265.89664
35.25,7.75,descending,265.70502
35.25,8.0,descending,266.08
35.25,8.25,descending,266.91498
35.25,8.5,descending,268.12
35.25,8.75,descending,269.24
35.25,9.0,descending,270.09497
35.25,9.25,descending,271.15665
35.25,9.5,descending,271.675
35.25,9.75,descending,271.505
35.25,10.0,descending,271.34
35.25,10.25,descending,269.16498
35.25,10.5,descending,263.59665
35.25,10.75,descending,246.245
35.25,11.0,descending,219.08667
35.25,11.25,descending,194.25
35.25,11.5,descending,187.39667
35.25,11.75,descending,186.64499
35.25,12.0,descending,186.41667
35.25,12.25,descending,186.245
35.25,12.5,descending,186.05333
35.25,12.75,descending,185.545
35.25,13.0,descending,184.875
35.25,13.25,descending,184.385
35.25,13.5,descending,184.24199
35.25,13.75,descending,184.622
35.25,14.0,descending,185.10167
35.25,14.25,descending,185.42665
35.25,14.5,descending,185.652
35.25,14.75,descending,185.54
35.25,35.5,descending,192.67
35.25,35.75,descending,203.58667
35.25,36.0,descending,222.026
35.25,36.25,descending,243.368
35.25,36.5,descending,258.898
35.25,36.75,descending,264.6875
35.25,37.0,descending,265.51248
35.25,37.25,descending,265.20334
35.25,37.5,descending,265.1225
35.25,37.75,descending,265.165
35.25,38.0,descending,265.47
35.5,-13.0,descending,188.39499
35.5,-12.75,descending,187.81221
35.5,-12.5,descending,187.31636
35.5,-12.25,descending,187.24545
35.5,-12.0,descending,187.27455
35.5,-11.75,descending,187.29167
35.5,-11.5,descending,187.26416
35.5,-11.25,descending,187.08922
35.5,-11.0,descending,187.01213
35.5,-10.75,descending,187.30667
35.5,-10.5,descending,187.80316
35.5,-10.25,descending,188.14334
35.5,-10.0,descending,188.349
35.5,-3.25,descending,210.60625
35.5,-3.0,descending,208.41684
35.5,-2.75,descending,206.268
35.5,-2.5,descending,204.91286
35.5,-2.25,descending,203.09071
35.5,-2.0,descending,201.69582
35.5,-1.75,descending,205.31331
35.5,-1.5,descending,214.88545
35.5,-1.25,descending,234.751
35.5,-1.0,descending,252.43182
35.5,-0.75,descending,263.85333
35.5,-0.5,descending,268.54498
35.5,-0.25,descending,272.19333
35.5,0.0,descending,273.732
35.5,0.25,descending,274.00552
35.5,0.5,descending,273.52
35.5,0.75,descending,272.88715
35.5,1.0,descending,272.44556
35.5,1.25,descending,272.06873
35.5,1.5,descending,271.16748
35.5,1.75,descending,270.49857
35.5,2.0,descending,270.55142
35.5,2.25,descending,271.06857
35.5,2.5,descending,271.86874
35.5,2.75,descending,272.60284
35.5,3.0,descending,273.0657
35.5,3.25,descending,272.17874
35.5,3.5,descending,269.93427
35.5,3.75,descending,268.97714
35.5,4.0,descending,269.99
35.5,4.25,descending,269.75775
35.5,4.5,descending,267.2357
35.5,4.75,descending,264.72
35.5,5.0,descending,265.62
35.5,5.25,descending,268.1743
35.5,5.5,descending,267.90714
35.5,5.75,descending,267.10858
35.5,6.0,descending,267.56375
35.5,6.25,descending,267.33334
35.5,6.5,descending,266.70712
35.5,6.75,descending,266.17126
35.5,7.0,descending,264.1143
35.5,7.25,descending,264.665
35.5,7.5,descending,265.918
35.5,7.75,descending,265.81876
35.5,8.0,descending,266.29874
35.5,8.25,descending,267.20334
35.5,8.5,descending,268.47
35.5,8.75,descending,269.22858
35.5,9.0,descending,269.8911
35.5,9.25,descending,270.8757
35.5,9.5,descending,271.42123
35.5,9.75,descending,271.19626
35.5,10.0,descending,270.24875
35.5,10.25,descending,266.4025
35.5,10.5,descending,262.43124
35.5,10.75,descending,249.03777
35.5,11.0,descending,213.788
35.5,11.25,descending,191.40887
35.5,11.5,descending,187.17667
35.5,11.75,descending,186.61444
35.5,12.0,descending,186.332
35.5,12.25,descending,186.25726
35.5,12.5,descending,186.071
35.5,12.75,descending,185.41444
35.5,13.0,descending,184.81181
35.5,13.25,descending,184.48
35.5,13.5,descending,184.505
35.5,13.75,descending,185.01071
35.5,14.0,descending,185.6175
35.5,14.25,descending,186.2321
35.5,14.5,descending,186.7969
35.5,14.75,descending,186.82399
35.5,35.5,descending,195.54315
35.5,35.75,descending,206.68687
35.5,36.0,descending,225.17062
35.5,36.25,descending,245.64214
35.5,36.5,descending,258.57248
35.5,36.75,descending,264.2075
35.5,37.0,descending,265.6291
35.5,37.25,descending,265.66907
35.5,37.5,descending,265.88498
35.5,37.75,descending,266.174
35.5,38.0,descending,266.404
35.75,-13.0,descending,188.13998
35.75,-12.75,descending,187.78125
35.75,-12.5,descending,187.361
35.75,-12.25,descending,187.155
35.75,-12.0,descending,187.06917
35.75,-11.75,descending,187.04727
35.75,-11.5,descending,187.09726
35.75,-11.25,descending,187.17076
35.75,-11.0,descending,187.3523
35.75,-10.75,descending,187.66713
35.75,-10.5,descending,188.04562
35.75,-10.25,descending,188.36949
35.75,-10.0,descending,188.6696
35.75,-9.75,descending,188.93
35.75,-3.25,descending,198.84799
35.75,-3.0,descending,196.79999
35.75,-2.75,descending,195.87352
35.75,-2.5,descending,195.44466
35.75,-2.25,descending,194.82616
35.75,-2.0,descending,194.75546
35.75,-1.75,descending,195.63454
35.75,-1.5,descending,198.36546
35.75,-1.25,descending,206.146
35.75,-1.0,descending,223.01399
35.75,-0.75,descending,239.17665
35.75,-0.5,descending,250.74777
35.75,-0.25,descending,258.6678
35.75,0.0,descending,265.7311
35.75,0.25,descending,272.27142
35.75,0.5,descending,273.74124
35.75,0.75,descending,273.6825
35.75,1.0,descending,273.6443
35.75,1.25,descending,273.91855
35.75,1.5,descending,273.85126
35.75,1.75,descending,272.95874
35.75,2.0,descending,271.685
35.75,2.25,descending,271.4575
35.75,2.5,descending,271.5657
35.75,2.75,descending,272.04623
35.75,3.0,descending,272.63498
35.75,3.25,descending,272.87
35.75,3.5,descending,271.61713
35.75,3.75,descending,270.40143
35.75,4.0,descending,270.6357
35.75,4.25,descending,270.68
35.75,4.5,descending,268.8757
35.75,4.75,descending,266.14713
35.75,5.0,descending,265.81857
35.75,5.25,descending,267.305
35.75,5.5,descending,266.9025
35.75,5.75,descending,266.31332
35.75,6.0,descending,267.11874
35.75,6.25,descending,266.65143
35.75,6.5,descending,265.116
35.75,6.75,descending,263.03497
35.75,7.0,descending,261.31625
35.75,7.25,descending,263.40857
35.75,7.5,descending,266.00427
35.75,7.75,descending,266.468
35.75,8.0,descending,266.928
35.75,8.25,descending,267.75998
35.75,8.5,descending,268.59113
35.75,8.75,descending,269.09
35.75,9.0,descending,269.3375
35.75,9.25,descending,270.13168
35.75,9.5,descending,270.9025
35.75,9.75,descending,270.7075
35.75,10.0,descending,269.04373
35.75,10.25,descending,263.45428
35.75,10.5,descending,255.07375
35.75,10.75,descending,234.04749
35.75,11.0,descending,204.51625
35.75,11.25,descending,190.09999
35.75,11.5,descending,187.10443
35.75,11.75,descending,186.50777
35.75,12.0,descending,186.2
35.75,12.25,descending,186.09999
35.75,12.5,descending,185.75453
35.75,12.75,descending,185.26271
35.75,13.0,descending,184.90636
35.75,13.25,descending,184.84
35.75,13.5,descending,185.09833
35.75,13.75,descending,185.66785
35.75,14.0,descending,187.38643
35.75,14.25,descending,190.04353
35.75,14.5,descending,190.14905
35.75,14.75,descending,188.16
35.75,35.5,descending,198.28267
35.75,35.75,descending,209.67055
35.75,36.0,descending,229.70732
35.75,36.25,descending,248.98923
35.75,36.5,descending,260.41998
35.75,36.75,descending,264.4575
35.75,37.0,descending,265.11816
35.75,37.25,descending,264.707
35.75,37.5,descending,264.62546
35.75,37.75,descending,264.91873
35.75,38.0,descending,265.12
36.0,-13.0,descending,188.20999
