latitude,longitude,pass_type,brightness_temp_37v
35.25,-13.0,ascending,213.34499
35.25,-12.75,ascending,213.26498
35.25,-12.5,ascending,213.12334
35.25,-12.25,ascending,212.935
35.25,-12.0,ascending,212.68
35.25,-11.75,ascending,212.45
35.25,-11.5,ascending,212.17665
35.25,-11.25,ascending,211.595
35.25,-11.0,ascending,211.02
35.25,-10.75,ascending,210.82
35.25,-10.5,ascending,210.58499
35.25,-10.25,ascending,210.42334
35.25,-10.0,ascending,210.54333
35.25,-9.75,ascending,210.58499
35.25,-9.5,ascending,210.355
35.25,-9.25,ascending,210.105
35.25,-9.0,ascending,210.33667
35.25,-8.75,ascending,210.85664
35.25,-8.5,ascending,211.46
35.25,-8.25,ascending,211.90666
35.25,-8.0,ascending,211.97333
35.25,-7.75,ascending,211.92334
35.25,-7.5,ascending,211.8
35.25,-7.25,ascending,211.735
35.25,-7.0,ascending,211.92499
35.25,-6.75,ascending,212.8675
35.25,-6.5,ascending,217.565
35.25,-6.25,ascending,238.27666
35.25,-6.0,ascending,261.52
35.25,-5.75,ascending,273.726
35.25,-5.5,ascending,268.5975
35.25,-5.25,ascending,254.75331
35.25,-5.0,ascending,240.30666
35.25,-4.75,ascending,229.27556
35.25,-4.5,ascending,226.90999
35.25,2.25,ascending,286.275
35.25,2.5,ascending,286.40778
35.25,2.75,ascending,286.58197
35.25,3.0,ascending,286.972
35.25,3.25,ascending,286.59
35.25,3.5,ascending,286.406
35.25,3.75,ascending,285.762
35.25,4.0,ascending,286.28
35.25,4.25,ascending,286.53665
35.25,4.5,ascending,286.71332
35.25,4.75,ascending,286.03748
35.25,5.0,ascending,285.4733
35.25,5.25,ascending,285.61667
35.25,5.5,ascending,285.47
35.25,5.75,ascending,284.44333
35.25,6.0,ascending,283.59668
35.25,6.25,ascending,283.235
35.25,6.5,ascending,283.335
35.25,6.75,ascending,283.52664
35.25,7.0,ascending,282.55334
35.25,7.25,ascending,280.61
35.25,7.5,ascending,280.18997
35.25,7.75,ascending,280.7
35.25,8.0,ascending,281.52997
35.25,8.25,ascending,282.8033
35.25,8.5,ascending,284.29
35.25,8.75,ascending,284.89
