date,a,b,r2,rmse,n_points
20050101,-0.2797586453370264,348.6206260655163,0.9902574580186104,0.2809983921312448,3
20050102,-0.1505154736474484,316.54668120180634,0.6495296781713676,0.6672214467544156,3
20050103,-0.8177921873213383,487.4490156773038,1.0,0.0,2
20050104,-3.659513300237858,1235.129888408203,1.0,4.019436694230464e-14,2
20050105,-0.1873360967376584,325.5978178483344,1.0,0.0,2
20050106,-0.3575695972444305,368.8642313182465,1.0,4.019436694230464e-14,2
20050107,0.0013789896323646,277.5053644942326,1.0129579858353388e-05,4.00580655060346,3
20050108,0.1612204952623183,234.8408640250152,1.0,0.0,2
20050109,-0.3672446651677074,372.10293265946433,0.9983533982106771,0.108607061266104,3
20050110,-0.1897510703146538,326.2840124346309,1.0,0.0,2
20050113,-0.3125496995042928,357.3220404735539,0.9524931396224736,0.6819524706463945,3
20050114,-0.412525477541237,381.7962347189232,0.9498995214730056,0.6938327314262932,4
20050116,-0.4613925747477859,392.5641593376748,0.8692032083496074,1.5415483566908774,3
20050117,17.49387720940147,-4301.430750530657,1.0,1.0550542807135676e-12,2
20050118,-0.1114267830703575,303.7763091734259,0.101508771934378,3.4677090555531715,4
20050119,-0.9492718294629292,520.8263398046156,1.0,4.019436694230464e-14,2
20050120,0.0204318899718914,269.02841375294946,1.0,0.0,2
20050122,-0.409390314013994,379.86494284858605,1.0,0.0,2
20050124,-0.1099570406636786,303.2521859321881,0.1038896447988798,1.9315766928587783,3
20050125,0.0200340121279157,269.15504331153466,1.0,0.0,2
20050126,-0.0187970573555085,280.18365943583854,0.0054001999162824,1.9103723195218336,3
20050127,-0.2311849437122302,332.99605635060294,0.8818782095981597,0.8684981315493416,3
20050128,15.398641203090742,-3712.7941945621096,1.0,2.1645329030274962e-13,2
20050129,-0.3191211276698322,355.57024919454824,0.92753410616647,0.8426648409325486,3
20050130,-0.0940963826912262,296.5463099721243,1.0,0.0,2
20050201,-139.02328244965395,36548.73794144152,1.0,2.30093003756441e-12,2
20050202,0.0090939112669974,271.7000516251645,1.0,5.684341886080804e-14,2
20050203,-0.0728499044839984,294.0706833585266,0.046577850782622,2.9703945512425425,3
20050204,-4.604939081810752,1472.329925928679,1.0,8.03887338846093e-14,2
20050205,-0.1378654164849878,309.54678929332107,0.2978800773408179,2.0425168385305814,3
20050206,-0.2861325403753789,342.1089848042378,0.9991342250521988,0.1328750231993865,3
20050209,-1.1615163931565389,570.6374367971724,1.0,5.684341886080804e-14,2
20050210,1.1795475574350591,-6.989776251084038,1.0,0.0,2
20050212,-0.0386952117663366,284.6507140487475,0.0167778019860664,2.109728704108436,4
20050214,-0.3027731388858982,351.9859320998969,0.9918341296022724,0.3039747263997586,3
20050215,-0.4463249574322344,389.0397642582924,1.0,5.684341886080804e-14,2
20050216,-0.2661303171687837,341.6900076412348,1.0,0.0,2
20050218,-0.464895824853022,386.2121847396072,1.0,0.0,2
20050219,-0.0318313417275623,281.34568496439897,0.4198011366354489,0.3936406188902323,3
20050220,1.907657784938944,-226.9012616867616,1.0,5.684341886080804e-14,2
20050221,-0.0012651653676978,274.0343539424648,1.0,0.0,2
20050222,-0.1097293200653678,302.4038398381803,0.6873633373622492,1.299148807924369,4
20050223,-10.076771234551488,2898.620223739047,1.0,4.272719814472597e-13,2
20050224,-0.1946537730885138,323.704720919036,0.9190985980299896,0.563759880365114,3
20050225,-0.179825076829154,318.8361069800848,0.808428099327709,1.0285734156982127,3
20050227,-0.0176981935616619,277.9289717656369,0.2147109217034729,0.320084439507894,3
20050228,-0.6598274560992041,441.377779502662,1.0,4.019436694230464e-14,2
20050301,0.0011678680514801,273.369297717859,1.0,5.684341886080804e-14,2
20050303,0.009541400662336,272.9520146848047,0.0025445538662289,1.7064465882954858,4
20050304,35.528313919117814,-8970.424663858168,1.0,5.084229945850415e-13,2
20050305,-0.6364656366567415,439.22246879622617,1.0,5.684341886080804e-14,2
20050306,-5.339424302044806,1656.0469368382817,1.0,1.1368683772161605e-13,2
