latitude,longitude,pass_type,brightness_temp_37v
35.25,-6.25,descending,232.75143
35.25,-6.0,descending,244.885
35.25,-5.75,descending,260.21002
35.25,-5.5,descending,266.875
35.25,-5.25,descending,264.74
35.25,-5.0,descending,257.7475
35.25,-4.75,descending,249.9175
35.25,-4.5,descending,242.34999
35.25,-4.25,descending,240.59
35.25,-4.0,descending,240.92665
35.25,-3.75,descending,244.67499
35.25,-3.5,descending,246.18666
35.25,-3.25,descending,247.06331
35.25,-3.0,descending,246.12
35.25,-2.75,descending,239.73334
35.25,-2.5,descending,235.11665
35.25,-2.25,descending,234.02998
35.25,-2.0,descending,233.28
35.25,-1.75,descending,237.42
35.25,-1.5,descending,253.22333
35.25,-1.25,descending,264.02002
35.25,-1.0,descending,269.52664
35.25,-0.75,descending,272.06332
35.25,-0.5,descending,273.22998
35.25,-0.25,descending,273.58
35.25,0.0,descending,273.43332
35.25,0.25,descending,272.95502
35.25,0.5,descending,272.47333
35.25,0.75,descending,272.10498
35.25,1.0,descending,271.21002
35.25,1.25,descending,269.90497
35.25,1.5,descending,268.81998
35.25,1.75,descending,267.96
35.25,2.0,descending,267.925
35.25,2.25,descending,268.455
35.25,2.5,descending,268.86
35.25,2.75,descending,268.72498
35.25,3.0,descending,268.76
35.25,3.25,descending,268.47998
35.25,3.5,descending,267.07333
35.25,3.75,descending,266.37
35.25,4.0,descending,266.31665
35.25,4.25,descending,267.02997
35.25,4.5,descending,267.87332
35.25,4.75,descending,268.93997
35.25,5.0,descending,270.41
35.25,5.25,descending,271.2333
35.25,5.5,descending,270.14
35.25,5.75,descending,268.56998
35.25,6.0,descending,267.495
35.25,6.25,descending,266.825
35.25,6.5,descending,266.34335
35.25,6.75,descending,265.89664
35.25,7.0,descending,264.28665
35.25,7.25,descending,264.15
35.25,7.5,descending,264.1125
35.25,7.75,descending,263.96
35.25,8.0,descending,264.59998
35.25,8.25,descending,265.82333
35.25,8.5,descending,266.51334
35.25,8.75,descending,267.07666
35.25,9.0,descending,268.19
35.25,9.25,descending,269.5825
35.25,9.5,descending,270.37332
35.25,9.75,descending,271.0625
35.25,10.0,descending,271.37332
35.25,10.25,descending,269.132
35.25,10.5,descending,263.99
35.25,10.75,descending,252.092
35.25,11.0,descending,231.45
35.25,11.25,descending,215.51572
35.25,11.5,descending,211.76375
35.25,32.25,descending,219.76332
35.25,32.5,descending,222.42857
35.25,32.75,descending,230.11665
35.25,33.0,descending,241.60999
35.25,33.25,descending,250.42998
35.25,33.5,descending,254.86249
35.25,33.75,descending,255.47998
35.25,34.0,descending,245.38
35.25,34.25,descending,227.0
35.25,34.5,descending,214.30333
35.25,34.75,descending,209.69331
35.25,35.0,descending,209.60664
35.25,35.25,descending,211.0875
35.25,35.5,descending,216.06
35.25,35.75,descending,227.75334
35.25,36.0,descending,246.34334
35.25,36.25,descending,263.37
35.25,36.5,descending,270.06998
35.25,36.75,descending,271.52
35.25,37.0,descending,271.62668
35.25,37.25,descending,271.44998
35.25,37.5,descending,270.55
35.25,37.75,descending,270.015
35.25,38.0,descending,269.95
35.5,-6.25,descending,228.39352
